#Rule 	 #Vars 	 Cov 	 Sign 	 Unus 	 Acc 	 Sens 	 Supp 	 Cnf
0	8.0000	0.2333	82.3194	0.1038	 ---- 	0.4204	0.2333	1.0000
1	7.0000	0.2507	83.3050	0.1101	 ---- 	0.4491	0.2493	0.9942
2	6.0000	0.2913	89.8051	0.1253	 ---- 	0.5170	0.2870	0.9851
3	6.0000	0.3087	92.4234	0.1316	 ---- 	0.5457	0.3029	0.9812
4	5.0000	0.3435	98.0268	0.1441	 ---- 	0.6031	0.3348	0.9747
5	7.0000	0.1565	75.9695	0.0869	 ---- 	0.3518	0.1565	1.0000
6	7.0000	0.1551	75.2661	0.0861	 ---- 	0.3485	0.1551	1.0000
7	6.0000	0.1710	77.8029	0.0935	 ---- 	0.3811	0.1696	0.9915
8	5.0000	0.1812	78.6367	0.0977	 ---- 	0.4007	0.1783	0.9840
9	5.0000	0.1638	74.3236	0.0895	 ---- 	0.3648	0.1623	0.9912
---	6.2000	0.2255	82.7879	0.1068	0.7435	0.4382	0.5406	0.9902
