#Rule 	 #Vars 	 Cov 	 Sign 	 Unus 	 Acc 	 Sens 	 Supp 	 Cnf
0	2.0000	0.3333	178.2816	0.0999	 ---- 	0.4760	0.3333	1.0000
1	2.0000	0.3333	178.2816	0.0999	 ---- 	0.4760	0.3333	1.0000
2	2.0000	0.2500	17.7046	0.0333	 ---- 	0.2975	0.2083	0.8333
3	2.0000	0.2500	17.7046	0.0333	 ---- 	0.2975	0.2083	0.8333
4	2.0000	0.3333	8.3104	0.0270	 ---- 	0.3719	0.2604	0.7812
5	5.0000	0.1250	186.9003	0.0823	 ---- 	0.3996	0.1198	0.9583
6	4.0000	0.1111	166.1336	0.0732	 ---- 	0.3552	0.1065	0.9583
7	4.0000	0.1667	183.0330	0.0965	 ---- 	0.4884	0.1464	0.8785
8	3.0000	0.2222	162.8771	0.1064	 ---- 	0.5772	0.1730	0.7786
9	3.0000	0.1667	61.1183	0.0565	 ---- 	0.3552	0.1065	0.6389
---	2.9000	0.2292	116.0345	0.0708	0.8264	0.4095	0.9167	0.8661
