#Rule 	 #Vars 	 Cov 	 Sign 	 Unus 	 Acc 	 Sens 	 Supp 	 Cnf
0	8.0000	0.1550	48.0196	0.0465	 ---- 	0.2214	0.1550	1.0000
1	7.0000	0.1660	46.8572	0.0488	 ---- 	0.2357	0.1650	0.9940
2	6.0000	0.1800	44.7197	0.0510	 ---- 	0.2529	0.1770	0.9833
3	6.0000	0.1790	44.4246	0.0507	 ---- 	0.2514	0.1760	0.9832
4	5.0000	0.1940	43.6069	0.0532	 ---- 	0.2700	0.1890	0.9742
5	8.0000	0.1550	35.3195	0.0545	 ---- 	0.3367	0.1010	0.6516
6	7.0000	0.1570	35.3883	0.0549	 ---- 	0.3400	0.1020	0.6497
7	7.0000	0.1580	34.7921	0.0546	 ---- 	0.3400	0.1020	0.6456
8	6.0000	0.1600	34.8677	0.0550	 ---- 	0.3433	0.1030	0.6438
9	6.0000	0.1580	33.5473	0.0536	 ---- 	0.3367	0.1010	0.6392
---	6.6000	0.1662	40.1543	0.0523	0.7460	0.2928	0.3600	0.8165
