#Rule 	 #Vars 	 Cov 	 Sign 	 Unus 	 Acc 	 Sens 	 Supp 	 Cnf
0	5.0000	0.2741	33.3730	0.1181	 ---- 	0.4867	0.2704	0.9865
1	5.0000	0.2815	31.1558	0.1177	 ---- 	0.4933	0.2741	0.9737
2	5.0000	0.2741	30.1817	0.1144	 ---- 	0.4800	0.2667	0.9730
3	4.0000	0.2926	27.3589	0.1152	 ---- 	0.5000	0.2778	0.9494
4	4.0000	0.2630	26.0354	0.1058	 ---- 	0.4533	0.2519	0.9577
5	5.0000	0.2074	34.8935	0.1115	 ---- 	0.4583	0.2037	0.9821
6	5.0000	0.2185	33.5832	0.1140	 ---- 	0.4750	0.2111	0.9661
7	4.0000	0.2333	33.3175	0.1185	 ---- 	0.5000	0.2222	0.9524
8	4.0000	0.2037	30.8899	0.1058	 ---- 	0.4417	0.1963	0.9636
9	4.0000	0.2333	30.6598	0.1148	 ---- 	0.4917	0.2185	0.9365
---	4.5000	0.2481	31.1449	0.1136	0.7741	0.4780	0.5741	0.9641
