#Rule 	 #Vars 	 Cov 	 Sign 	 Unus 	 Acc 	 Sens 	 Supp 	 Cnf
0	4.0000	0.6250	7.7015	0.1016	 ---- 	0.7463	0.6250	1.0000
1	3.0000	0.6750	5.4166	0.0972	 ---- 	0.7910	0.6625	0.9815
2	3.0000	0.6500	5.1417	0.0931	 ---- 	0.7612	0.6375	0.9808
3	2.0000	0.7000	3.9798	0.0887	 ---- 	0.8060	0.6750	0.9643
4	2.0000	0.6250	4.8680	0.0891	 ---- 	0.7313	0.6125	0.9800
5	5.0000	0.1250	15.7829	0.1047	 ---- 	0.7692	0.1250	1.0000
6	4.0000	0.1500	11.3948	0.1006	 ---- 	0.7692	0.1250	0.8333
7	4.0000	0.1625	10.1452	0.0986	 ---- 	0.7692	0.1250	0.7692
8	3.0000	0.1750	9.1239	0.0966	 ---- 	0.7692	0.1250	0.7143
9	3.0000	0.2250	7.9916	0.1009	 ---- 	0.8462	0.1375	0.6111
---	3.3000	0.4112	8.1546	0.0971	0.8875	0.7759	1.0000	0.8834
