#Rule 	 #Vars 	 Cov 	 Sign 	 Unus 	 Acc 	 Sens 	 Supp 	 Cnf
0	4.0000	0.1909	59.6215	0.1224	 ---- 	0.5317	0.1909	1.0000
1	3.0000	0.1880	58.7316	0.1205	 ---- 	0.5238	0.1880	1.0000
2	3.0000	0.1795	56.0620	0.1151	 ---- 	0.5000	0.1795	1.0000
3	3.0000	0.1966	56.3577	0.1232	 ---- 	0.5397	0.1937	0.9855
4	3.0000	0.1937	55.4806	0.1213	 ---- 	0.5317	0.1909	0.9853
5	6.0000	0.3789	51.3711	0.1360	 ---- 	0.5911	0.3789	1.0000
6	5.0000	0.3647	49.4399	0.1309	 ---- 	0.5689	0.3647	1.0000
7	5.0000	0.3960	49.0408	0.1393	 ---- 	0.6133	0.3932	0.9928
8	5.0000	0.3875	47.9010	0.1362	 ---- 	0.6000	0.3846	0.9926
9	4.0000	0.4017	46.3508	0.1385	 ---- 	0.6178	0.3960	0.9858
---	4.1000	0.2877	53.0357	0.1283	0.8689	0.5618	0.6866	0.9942
