#Rule 	 #Vars 	 Cov 	 Sign 	 Unus 	 Acc 	 Sens 	 Supp 	 Cnf
0	3.0000	0.5933	31.3442	0.1978	 ---- 	0.8900	0.5933	1.0000
1	2.0000	0.6000	27.5263	0.1933	 ---- 	0.8900	0.5933	0.9889
2	2.0000	0.5200	27.4702	0.1733	 ---- 	0.7800	0.5200	1.0000
3	2.0000	0.4333	16.3383	0.1311	 ---- 	0.6300	0.4200	0.9692
4	2.0000	0.2800	1.8452	0.0400	 ---- 	0.3400	0.2267	0.8095
5	3.0000	0.3000	38.1736	0.1933	 ---- 	0.8800	0.2933	0.9778
6	2.0000	0.3200	37.3782	0.2000	 ---- 	0.9200	0.3067	0.9583
7	2.0000	0.3400	34.0796	0.2000	 ---- 	0.9400	0.3133	0.9216
8	2.0000	0.2800	12.4776	0.1133	 ---- 	0.6200	0.2067	0.7381
9	2.0000	0.7200	0.6354	0.0400	 ---- 	0.8400	0.2800	0.3889
---	2.2000	0.4387	22.7269	0.1482	0.9400	0.7730	1.0000	0.8752
