#Rule 	 #Vars 	 Cov 	 Sign 	 Unus 	 Acc 	 Sens 	 Supp 	 Cnf
0	4.0000	0.1670	59.1332	0.0579	 ---- 	0.2556	0.1670	1.0000
1	4.0000	0.1190	21.3793	0.0329	 ---- 	0.1693	0.1106	0.9298
2	4.0000	0.1983	21.9911	0.0447	 ---- 	0.2668	0.1743	0.8789
3	3.0000	0.2923	23.8148	0.0574	 ---- 	0.3802	0.2484	0.8500
4	3.0000	0.1795	12.6201	0.0330	 ---- 	0.2300	0.1503	0.8372
5	3.0000	0.1795	27.5652	0.0536	 ---- 	0.3343	0.1159	0.6453
6	2.0000	0.3549	29.2050	0.0774	 ---- 	0.5783	0.2004	0.5647
7	2.0000	0.3497	4.9510	0.0312	 ---- 	0.4398	0.1524	0.4358
8	2.0000	0.3497	4.9510	0.0312	 ---- 	0.4398	0.1524	0.4358
9	2.0000	0.3497	4.9510	0.0312	 ---- 	0.4398	0.1524	0.4358
---	2.9000	0.2540	21.0562	0.0451	0.6681	0.3534	0.9603	0.7013
