#Rule 	 #Vars 	 Cov 	 Sign 	 Unus 	 Acc 	 Sens 	 Supp 	 Cnf
0	2.0000	0.6011	29.2060	0.1621	 ---- 	0.8231	0.6011	1.0000
1	2.0000	0.6011	29.2060	0.1621	 ---- 	0.8231	0.6011	1.0000
2	2.0000	0.5899	24.6187	0.1535	 ---- 	0.8000	0.5843	0.9905
3	2.0000	0.5000	17.7127	0.1236	 ---- 	0.6692	0.4888	0.9775
4	2.0000	0.6011	14.3210	0.1284	 ---- 	0.7769	0.5674	0.9439
5	3.0000	0.1966	39.8425	0.1436	 ---- 	0.7292	0.1966	1.0000
6	2.0000	0.2022	36.1464	0.1421	 ---- 	0.7292	0.1966	0.9722
7	2.0000	0.2022	32.5410	0.1365	 ---- 	0.7083	0.1910	0.9444
8	2.0000	0.2079	30.4794	0.1350	 ---- 	0.7083	0.1910	0.9189
9	2.0000	0.2022	17.4941	0.1028	 ---- 	0.5833	0.1573	0.7778
---	2.1000	0.3904	27.1568	0.1390	0.9888	0.7351	0.9944	0.9525
