#Rule 	 #Vars 	 Cov 	 Sign 	 Unus 	 Acc 	 Sens 	 Supp 	 Cnf
0	3.0000	0.5549	141.7746	0.1942	 ---- 	0.8536	0.5549	1.0000
1	3.0000	0.5271	134.6672	0.1844	 ---- 	0.8108	0.5271	1.0000
2	3.0000	0.4919	125.6894	0.1721	 ---- 	0.7568	0.4919	1.0000
3	3.0000	0.5271	129.2252	0.1830	 ---- 	0.8086	0.5256	0.9972
4	3.0000	0.4919	120.3074	0.1707	 ---- 	0.7545	0.4905	0.9970
5	3.0000	0.2401	143.7419	0.1546	 ---- 	0.6820	0.2387	0.9939
6	2.0000	0.2562	144.8153	0.1622	 ---- 	0.7197	0.2518	0.9829
7	2.0000	0.2679	137.3333	0.1639	 ---- 	0.7364	0.2577	0.9617
8	2.0000	0.1933	106.3395	0.1212	 ---- 	0.5397	0.1889	0.9773
9	2.0000	0.1859	98.2449	0.1150	 ---- 	0.5146	0.1801	0.9685
---	2.6000	0.3736	128.2138	0.1621	0.9649	0.7177	0.9619	0.9879
