Number 	Class 	Size 	NVar    	Coverage 	Significance 	Unusualness 	Accuracy 	Support  	CSupport  	FSupport 	FConfidence 	CConfidence
000   	000	-	2.000000	0.478079	20.401333	0.069648	0.797826	0.584665	0.382046	0.382046	0.799127	0.799127
001   	000	-	4.000000	0.081420	28.827421	0.028216	0.987500	0.124601	0.081420	0.081420	1.000000	1.000000
002   	000	-	2.000000	0.436326	2.251020	0.022819	0.704762	0.471246	0.307933	0.307933	0.705742	0.705742
003   	000	-	4.000000	0.081420	28.827421	0.028216	0.987500	0.124601	0.081420	0.081420	1.000000	1.000000
004   	001	-	6.000000	0.004175	3.681819	0.002728	0.833333	0.012048	0.004175	0.004175	1.000000	1.000000
005   	001	-	4.000000	0.052192	46.022743	0.034105	0.980769	0.150602	0.052192	0.052192	1.000000	1.000000
006   	001	-	4.000000	0.052192	46.022743	0.034105	0.980769	0.150602	0.052192	0.052192	1.000000	1.000000
007   	001	-	4.000000	0.037578	33.136375	0.024555	0.973684	0.108434	0.037578	0.037578	1.000000	1.000000
008   	001	-	4.000000	0.037578	33.136375	0.024555	0.973684	0.108434	0.037578	0.037578	1.000000	1.000000
-    	- 	009	3.777778	0.140107	26.923027	0.029883	0.913314	0.203915	0.832985	0.115171	0.944985	0.944985
