Number 	Class 	Size 	NVar    	Coverage 	Significance 	Unusualness 	Accuracy 	Support  	CSupport  	FSupport 	FConfidence 	CConfidence
000   	000	-	2.000000	0.837500	0.805376	0.048594	0.884058	1.000000	0.750000	0.679651	0.888973	0.895522
001   	000	-	3.000000	0.787500	1.655666	0.065469	0.907692	0.985075	0.725000	0.615936	0.904283	0.920635
002   	000	-	4.000000	0.762500	2.268883	0.073906	0.920635	0.865672	0.712500	0.600325	0.926585	0.934426
003   	000	-	3.000000	0.562500	6.931365	0.091406	0.978723	0.686567	0.562500	0.466883	0.987298	1.000000
004   	000	-	5.000000	0.600000	4.595758	0.085000	0.960000	0.716418	0.587500	0.498052	0.964780	0.979167
005   	000	-	4.000000	0.600000	4.595758	0.085000	0.960000	0.716418	0.587500	0.498052	0.964780	0.979167
006   	000	-	4.000000	0.737500	2.080678	0.069844	0.918033	0.925373	0.687500	0.587828	0.916488	0.932203
007   	000	-	5.000000	0.587500	4.460213	0.082969	0.959184	0.746269	0.575000	0.486024	0.958350	0.978723
008   	000	-	4.000000	0.587500	4.460213	0.082969	0.959184	0.746269	0.575000	0.486024	0.955065	0.978723
009   	000	-	4.000000	0.700000	2.737402	0.076250	0.931035	0.805970	0.662500	0.555844	0.930941	0.946429
-    	- 	010	3.800000	0.676250	3.459131	0.076141	0.937854	0.819403	0.812500	0.547462	0.939754	0.954500
