Measures used as objectives: COMP, FCNF, UNUS;
Class 	COMP	FCNF	UNUS	FITNESS
0	0.124601	1.000000	0.681661	0.554339
0	0.124601	1.000000	0.681661	0.554339
0	0.584665	0.799127	0.723092	0.690531
1	0.108434	1.000000	0.371111	0.454707
1	0.150602	1.000000	0.380660	0.474439
1	0.108434	1.000000	0.371111	0.454707
1	0.108434	1.000000	0.371111	0.454707
1	0.108434	1.000000	0.371111	0.454707
1	0.108434	1.000000	0.371111	0.454707
1	0.108434	1.000000	0.371111	0.454707
1	0.150602	1.000000	0.380660	0.474439
1	0.024096	1.000000	0.352012	0.415242
