--------------------------------------------
|              Measures file               |
--------------------------------------------

MEASURES USED AS OBJECTIVES:
	COMP	UNUS	

CLASS	COMP	UNUS	FCNF
0	0.598958	0.922560	0.922000
0	0.145833	0.926618	0.936842
0	0.598958	0.922560	0.922000
0	0.598958	0.922560	0.922000
0	0.401042	0.922880	0.925333
0	0.361111	0.924544	0.928000
0	0.401042	0.922880	0.925333
0	0.241319	0.924672	0.931429
0	0.239583	0.926144	0.925714
0	0.241319	0.924672	0.931429
0	0.239583	0.926144	0.925714
0	0.401042	0.922880	0.925333
0	0.239583	0.926144	0.925714
0	0.145833	0.926618	0.936842
0	0.239583	0.926144	0.925714
