Number 	Class 	Size 	NVar    	Coverage 	Significance 	Unusualness 	Accuracy 	Support  	CSupport  	FSupport 	FConfidence 	CConfidence
000   	000	-	2.000000	0.333333	178.281631	0.099923	0.998270	0.476033	0.333333	0.333333	1.000000	1.000000
001   	000	-	2.000000	0.333333	178.281631	0.099923	0.998270	0.476033	0.333333	0.333333	1.000000	1.000000
002   	000	-	2.000000	0.250000	17.704567	0.033275	0.831797	0.297521	0.208333	0.208333	0.833333	0.833333
003   	000	-	2.000000	0.333333	8.310399	0.027006	0.780277	0.371901	0.260417	0.260417	0.781250	0.781250
004   	000	-	2.000000	0.250000	17.704567	0.033275	0.831797	0.297521	0.208333	0.208333	0.833333	0.833333
005   	000	-	2.000000	0.333333	0.455826	-0.006559	0.679931	0.323967	0.226852	0.226852	0.680556	0.680556
006   	001	-	5.000000	0.009259	16.742847	0.006484	0.944444	0.030888	0.009259	0.009259	1.000000	1.000000
007   	001	-	5.000000	0.009259	16.742847	0.006484	0.944444	0.030888	0.009259	0.009259	1.000000	1.000000
008   	001	-	5.000000	0.009259	16.742847	0.006484	0.944444	0.030888	0.009259	0.009259	1.000000	1.000000
-    	- 	009	3.000000	0.206790	50.107464	0.034033	0.883742	0.259515	0.728009	0.177598	0.903164	0.903164
