Number 	Class 	Size 	NVar    	Coverage 	Significance 	Unusualness 	Accuracy 	Support  	CSupport  	FSupport 	FConfidence 	CConfidence
000   	000	-	7.000000	0.000000	0.000000	0.000000	0.500000	0.122222	0.000000	0.001346	0.983174	0.000000
001   	000	-	7.000000	0.000000	0.000000	0.000000	0.500000	0.144444	0.000000	0.001437	0.932911	0.000000
002   	000	-	7.000000	0.000000	0.000000	0.000000	0.500000	0.144444	0.000000	0.002142	1.000000	0.000000
003   	000	-	7.000000	0.000000	0.000000	0.000000	0.500000	0.177778	0.000000	0.002648	0.959035	0.000000
004   	000	-	7.000000	0.000000	0.000000	0.000000	0.500000	0.155556	0.000000	0.002626	1.000000	0.000000
005   	000	-	7.000000	0.000000	0.000000	0.000000	0.500000	0.177778	0.000000	0.003872	0.826626	0.000000
006   	000	-	6.000000	0.000000	0.000000	0.000000	0.500000	0.066667	0.000000	0.000979	1.000000	0.000000
007   	000	-	8.000000	0.000000	0.000000	0.000000	0.500000	0.211111	0.000000	0.004774	0.947263	0.000000
008   	001	-	3.000000	0.676113	39.823700	0.056529	0.991045	0.998886	0.671053	0.568724	0.959549	0.992515
009   	001	-	2.000000	0.093117	7.632431	0.008482	0.989362	0.540089	0.093117	0.146486	0.996869	1.000000
-    	- 	010	6.100000	0.076923	4.745613	0.006501	0.598041	0.273898	0.764170	0.073504	0.960543	0.199252
