--------------------------------------------
|              Measures file               |
--------------------------------------------

MEASURES USED AS OBJECTIVES:
	COMP	UNUS	

CLASS	COMP	UNUS	FCNF
0	0.715998	0.679456	0.901207
0	0.723188	0.669486	0.856028
0	0.826842	0.649761	0.741139
0	0.885560	0.583530	0.602037
0	0.863391	0.618848	0.664668
0	0.893948	0.582845	0.600161
0	0.862193	0.619856	0.666821
0	0.715998	0.679456	0.901207
0	0.856201	0.628818	0.685701
0	0.827442	0.649420	0.740086
0	0.837028	0.642989	0.721591
0	0.844817	0.632677	0.696640
0	0.842421	0.638125	0.709027
0	0.855003	0.629826	0.688042
0	0.843619	0.637443	0.707182
0	0.844218	0.633018	0.697525
0	0.837627	0.642648	0.720619
0	0.893349	0.583349	0.600967
0	0.837627	0.642648	0.720619
0	0.842421	0.638125	0.709027
0	0.837028	0.642989	0.721591
0	0.855003	0.629826	0.688042
0	0.856201	0.628818	0.685701
1	0.840864	0.568887	0.617902
1	0.840864	0.568887	0.617902
1	0.564506	0.611756	0.949339
