Number 	Class 	Size 	NVar    	Coverage 	Significance 	Unusualness 	Accuracy 	Support  	CSupport  	FSupport 	FConfidence 	CConfidence
000   	000	-	2.000000	0.394000	32.578476	0.072200	0.881313	0.497143	0.348000	0.348000	0.883249	0.883249
001   	000	-	2.000000	0.184000	3.764209	-0.018800	0.596774	0.998571	0.110000	0.200978	0.663441	0.597826
002   	000	-	2.000000	0.584000	4.063884	0.033200	0.755973	0.940000	0.442000	0.399324	0.753273	0.756849
003   	000	-	2.000000	0.804000	1.537184	0.024200	0.729529	0.972857	0.587000	0.494150	0.724249	0.730099
004   	000	-	3.000000	0.350000	5.672420	0.030000	0.784091	0.968571	0.275000	0.304458	0.749907	0.785714
005   	000	-	3.000000	0.549000	5.627862	0.037700	0.767695	0.930000	0.422000	0.377069	0.760421	0.768670
006   	000	-	2.000000	0.446000	2.280108	0.021800	0.747768	0.995714	0.334000	0.353893	0.726253	0.748879
007   	000	-	4.000000	0.487000	9.704959	0.046100	0.793456	0.617143	0.387000	0.322972	0.790886	0.794661
008   	000	-	4.000000	0.457000	8.605062	0.042100	0.790850	0.788571	0.362000	0.322356	0.785233	0.792123
009   	000	-	3.000000	0.484000	6.974520	0.039200	0.779835	0.797143	0.378000	0.342000	0.778156	0.780992
-    	- 	010	2.700000	0.473900	8.080869	0.032770	0.762728	0.850571	0.699000	0.346520	0.761507	0.763906
