Number 	Class 	Size 	NVar    	Coverage 	Significance 	Unusualness 	Accuracy 	Support  	CSupport  	FSupport 	FConfidence 	CConfidence
000   	000	-	4.000000	0.513021	24.689106	0.087877	0.820707	0.870000	0.421875	0.361410	0.770894	0.822335
001   	000	-	2.000000	0.805990	10.169007	0.072923	0.740741	0.994000	0.597656	0.514879	0.726539	0.741519
002   	000	-	3.000000	0.569010	21.248121	0.086582	0.801822	0.908000	0.457031	0.398976	0.764524	0.803204
003   	000	-	5.000000	0.544271	19.825325	0.081855	0.800000	0.920000	0.436198	0.355937	0.745101	0.801435
004   	000	-	4.000000	0.611979	15.780543	0.078139	0.777542	0.960000	0.476562	0.394599	0.738946	0.778723
005   	000	-	5.000000	0.593750	16.957104	0.079590	0.783843	0.944000	0.466146	0.371163	0.733601	0.785088
006   	000	-	3.000000	0.759115	11.418310	0.074795	0.748718	0.982000	0.569010	0.469308	0.728313	0.749571
007   	000	-	4.000000	0.576823	17.789717	0.080193	0.788764	0.930000	0.455729	0.372995	0.741840	0.790068
008   	000	-	3.000000	0.644531	14.257720	0.076477	0.768612	0.970000	0.496094	0.414761	0.736014	0.769697
009   	000	-	4.000000	0.677083	14.855336	0.080024	0.768199	0.942000	0.520833	0.412794	0.734287	0.769231
-    	- 	010	3.700000	0.629557	16.699028	0.079846	0.779895	0.942000	0.597656	0.406682	0.742006	0.781087
