{Blxwp=f,Mulch=t} => {Class=True}
{Mulch=t,R2ar8=t} => {Class=True}
{Mulch=t,Rkxwp=f} => {Class=True}
{Mulch=t,Rimmx=f} => {Class=True}
{Mulch=t,Wkcti=f} => {Class=True}
{Mulch=t,Reskr=f} => {Class=True}
{Bknwy=f,Mulch=t} => {Class=True}
{Blxwp=f,Wkna8=t} => {Class=True}
{Wkna8=t,Wknck=f} => {Class=True}
{Wkna8=t,Wkovl=t} => {Class=True}
{R2ar8=t,Wkna8=t} => {Class=True}
{Bxqsq=f,Wkna8=t} => {Class=True}
{Katri5=n,Wkna8=t} => {Class=True}
{Rkxwp=f,Wkna8=t} => {Class=True}
{Rimmx=f,Wkna8=t} => {Class=True}
{Wkcti=f,Wkna8=t} => {Class=True}
{Reskr=f,Wkna8=t} => {Class=True}
{Bknwy=f,Wkna8=t} => {Class=True}
{Mulch=f,Wkna8=t} => {Class=True}
{Rimmx=f,Skrxp=t} => {Class=True}
{Bkblk=f,Katri5=b} => {Class=True}
{Bkblk=t,Bxqsq=t} => {Class=True}
{Bkxwp=t,Bxqsq=t} => {Class=True}
{Bkxwp=t,Wknck=t} => {Class=True}
{Bkxcr=f,Bkxwp=t} => {Class=True}
{Blxwp=t,Bxqsq=t} => {Class=True}
{Bxqsq=t,Rimmx=f} => {Class=True}
{Bkxcr=t,Wknck=t} => {Class=True}
{Rimmx=f,Wknck=t} => {Class=True}
{Mulch=t,Rkxwp=f,Wkovl=f} => {Class=True}
{Mulch=t,Rimmx=f,Wkovl=f} => {Class=True}
{Mulch=t,Rkxwp=f,Wknck=t} => {Class=True}
{Mulch=t,Rimmx=f,Wknck=t} => {Class=True}
{Mulch=t,Skrxp=f,Wknck=t} => {Class=True}
{Mulch=t,Thrsk=f,Wknck=t} => {Class=True}
{Blxwp=f,Katri5=n,Mulch=t} => {Class=True}
{Bkspr=f,Katri5=n,Mulch=t} => {Class=True}
{Bkspr=f,Mulch=t,Reskr=f} => {Class=True}
{Mulch=t,R2ar8=t,Rimmx=f} => {Class=True}
{Katri5=n,Mulch=t,Skewr=t} => {Class=True}
{Katri5=n,Mulch=t,Wtoeg=n} => {Class=True}
{Katri5=n,Mulch=t,Rkxwp=f} => {Class=True}
{Katri5=n,Mulch=t,Rimmx=f} => {Class=True}
{Dsopp=f,Katri5=n,Mulch=t} => {Class=True}
{Katri5=n,Mulch=t,Skrxp=f} => {Class=True}
{Katri5=n,Mulch=t,Thrsk=f} => {Class=True}
{Mulch=t,Rkxwp=f,Wkcti=f} => {Class=True}
{Mulch=t,Reskr=f,Rkxwp=f} => {Class=True}
{Mulch=t,Rimmx=f,Wkcti=f} => {Class=True}
{Mulch=t,Reskr=f,Rimmx=f} => {Class=True}
{Dsopp=f,Mulch=t,Wkcti=f} => {Class=True}
{Mulch=t,Thrsk=f,Wkcti=f} => {Class=True}
{Dsopp=f,Mulch=t,Reskr=f} => {Class=True}
{Bkona=f,Mulch=t,Reskr=f} => {Class=True}
{Mulch=t,Reskr=f,Thrsk=f} => {Class=True}
{Blxwp=f,Wkna8=t,Wknck=f} => {Class=True}
{Bkona=f,Blxwp=f,Wkna8=t} => {Class=True}
{Bkon8=f,Blxwp=f,Wkna8=t} => {Class=True}
{Wkna8=t,Wknck=f,Wkovl=t} => {Class=True}
{Bkspr=f,Wkna8=t,Wknck=f} => {Class=True}
{R2ar8=t,Wkna8=t,Wknck=f} => {Class=True}
{Katri5=n,Wkna8=t,Wknck=f} => {Class=True}
{Rkxwp=f,Wkna8=t,Wknck=f} => {Class=True}
{Wkcti=f,Wkna8=t,Wknck=f} => {Class=True}
{Reskr=f,Wkna8=t,Wknck=f} => {Class=True}
{Bkona=f,Wkna8=t,Wknck=f} => {Class=True}
{Bknwy=f,Wkna8=t,Wknck=f} => {Class=True}
{Mulch=f,Wkna8=t,Wknck=f} => {Class=True}
{Bxqsq=f,Wkna8=t,Wkovl=t} => {Class=True}
{Rimmx=f,Wkna8=t,Wkovl=t} => {Class=True}
{Wkcti=f,Wkna8=t,Wkovl=t} => {Class=True}
{Reskr=f,Wkna8=t,Wkovl=t} => {Class=True}
{Dsopp=f,Wkna8=t,Wkovl=t} => {Class=True}
{Bknwy=f,Wkna8=t,Wkovl=t} => {Class=True}
{Bkon8=f,Wkna8=t,Wkovl=t} => {Class=True}
{Bkspr=f,Bxqsq=f,Wkna8=t} => {Class=True}
{Bkona=f,Bkspr=f,Wkna8=t} => {Class=True}
{Bxqsq=f,R2ar8=t,Wkna8=t} => {Class=True}
{R2ar8=t,Rimmx=f,Wkna8=t} => {Class=True}
{R2ar8=t,Reskr=f,Wkna8=t} => {Class=True}
{Dsopp=f,R2ar8=t,Wkna8=t} => {Class=True}
{Bkon8=f,R2ar8=t,Wkna8=t} => {Class=True}
{Bxqsq=f,Rkxwp=f,Wkna8=t} => {Class=True}
{Bxqsq=f,Wkcti=f,Wkna8=t} => {Class=True}
{Bxqsq=f,Reskr=f,Wkna8=t} => {Class=True}
{Bkona=f,Bxqsq=f,Wkna8=t} => {Class=True}
{Bknwy=f,Bxqsq=f,Wkna8=t} => {Class=True}
{Bxqsq=f,Mulch=f,Wkna8=t} => {Class=True}
{Bkxwp=f,Rkxwp=f,Wkna8=t} => {Class=True}
{Bkxwp=f,Wkcti=f,Wkna8=t} => {Class=True}
{Bkxwp=f,Reskr=f,Wkna8=t} => {Class=True}
{Bknwy=f,Bkxwp=f,Wkna8=t} => {Class=True}
{Dsopp=f,Katri5=n,Wkna8=t} => {Class=True}
{Bknwy=f,Katri5=n,Wkna8=t} => {Class=True}
{Bkon8=f,Katri5=n,Wkna8=t} => {Class=True}
{Dsopp=f,Rkxwp=f,Wkna8=t} => {Class=True}
{Bkona=f,Rkxwp=f,Wkna8=t} => {Class=True}
{Bkon8=f,Rkxwp=f,Wkna8=t} => {Class=True}
{Rimmx=f,Wkcti=f,Wkna8=t} => {Class=True}
{Bkblk=f,Rimmx=f,Wkna8=t} => {Class=True}
{Bknwy=f,Rimmx=f,Wkna8=t} => {Class=True}
{Reskr=f,Wkcti=f,Wkna8=t} => {Class=True}
{Dsopp=f,Wkcti=f,Wkna8=t} => {Class=True}
{Bkona=f,Wkcti=f,Wkna8=t} => {Class=True}
{Bkon8=f,Wkcti=f,Wkna8=t} => {Class=True}
{Bkona=f,Reskr=f,Wkna8=t} => {Class=True}
{Bknwy=f,Reskr=f,Wkna8=t} => {Class=True}
{Bknwy=f,Dsopp=f,Wkna8=t} => {Class=True}
{Bknwy=f,Bkona=f,Wkna8=t} => {Class=True}
{Bkona=f,Mulch=f,Wkna8=t} => {Class=True}
{Bkon8=f,Bkona=f,Wkna8=t} => {Class=True}
{Bknwy=f,Bkon8=f,Wkna8=t} => {Class=True}
{Bkon8=f,Mulch=f,Wkna8=t} => {Class=True}
{Rimmx=f,Skrxp=t,Wtoeg=t} => {Class=True}
{R2ar8=t,Skrxp=t,Wknck=t} => {Class=True}
{Rimmx=f,Skrxp=t,Wknck=t} => {Class=True}
{Cntxt=f,Rimmx=f,Skrxp=t} => {Class=True}
{Dwipd=l,Rimmx=f,Skrxp=t} => {Class=True}
{Rimmx=f,Skrxp=t,Wkpos=t} => {Class=True}
{Rimmx=f,Rkxwp=f,Skrxp=t} => {Class=True}
{Rimmx=f,Skrxp=t,Wkcti=f} => {Class=True}
{Reskr=f,Rimmx=f,Skrxp=t} => {Class=True}
{Bkblk=f,Rimmx=f,Skrxp=t} => {Class=True}
{Dsopp=f,Rimmx=f,Skrxp=t} => {Class=True}
{Rimmx=f,Skach=f,Skrxp=t} => {Class=True}
{Bkxbq=f,Qxmsq=f,Rxmsq=t} => {Class=True}
{Bkblk=f,Bkxbq=f,Katri5=b} => {Class=True}
{Bkblk=f,Katri5=b,Rkxwp=f} => {Class=True}
{Bkblk=f,Katri5=b,Rxmsq=f} => {Class=True}
{Bkblk=f,Katri5=b,Qxmsq=f} => {Class=True}
{Bkona=t,Rimmx=f,Wknck=t} => {Class=True}
{Dsopp=t,Rimmx=f,Wknck=t} => {Class=True}
