{Stlmt=t} => {Class=True}
{Bkon8=t,Bkxwp=t} => {Class=True}
{Bkon8=t,Bxqsq=t} => {Class=True}
{Bkon8=t,Blxwp=t} => {Class=True}
{Bkon8=t,Bkxbq=f} => {Class=True}
{Bxqsq=t,Mulch=t} => {Class=True}
{Bkxcr=t,Mulch=t} => {Class=True}
{Blxwp=f,Mulch=t} => {Class=True}
{Mulch=t,R2ar8=t} => {Class=True}
{Mulch=t,Rkxwp=f} => {Class=True}
{Mulch=t,Rimmx=f} => {Class=True}
{Mulch=t,Wkcti=f} => {Class=True}
{Mulch=t,Reskr=f} => {Class=True}
{Bknwy=f,Mulch=t} => {Class=True}
{Dwipd=g,Wkna8=t} => {Class=True}
{Bkxcr=t,Wkna8=t} => {Class=True}
{Simpl=t,Wkna8=t} => {Class=True}
{Blxwp=f,Wkna8=t} => {Class=True}
{Wkna8=t,Wknck=f} => {Class=True}
{Wkna8=t,Wkovl=t} => {Class=True}
{R2ar8=t,Wkna8=t} => {Class=True}
{Bxqsq=f,Wkna8=t} => {Class=True}
{Katri5=n,Wkna8=t} => {Class=True}
{Rkxwp=f,Wkna8=t} => {Class=True}
{Rimmx=f,Wkna8=t} => {Class=True}
{Wkcti=f,Wkna8=t} => {Class=True}
{Reskr=f,Wkna8=t} => {Class=True}
{Bknwy=f,Wkna8=t} => {Class=True}
{Mulch=f,Wkna8=t} => {Class=True}
{Rimmx=f,Skrxp=t} => {Class=True}
{Bxqsq=t,Katri5=b} => {Class=True}
{Bkblk=f,Katri5=b} => {Class=True}
{Bkblk=t,Bxqsq=t} => {Class=True}
{Bkxwp=t,Bxqsq=t} => {Class=True}
{Bkxwp=t,Wknck=t} => {Class=True}
{Bkxcr=f,Bkxwp=t} => {Class=True}
{Blxwp=t,Bxqsq=t} => {Class=True}
{Bxqsq=t,Rimmx=f} => {Class=True}
{Bkxcr=t,Wknck=t} => {Class=True}
{Rimmx=f,Wknck=t} => {Class=True}
{Bkblk=t,Bkon8=t,Rimmx=f} => {Class=True}
{Bkon8=t,Bkxwp=t,Rimmx=f} => {Class=True}
{Bkon8=t,Bkxwp=t,Wkcti=f} => {Class=True}
{Bkon8=t,Bxqsq=t,Wkovl=f} => {Class=True}
{Bkon8=t,Bxqsq=t,Skewr=t} => {Class=True}
{Bkon8=t,Bxqsq=t,Wkpos=t} => {Class=True}
{Bkon8=t,Bxqsq=t,Wtoeg=n} => {Class=True}
{Bkon8=t,Bxqsq=t,Wkcti=f} => {Class=True}
{Bkon8=t,Bxqsq=t,Reskr=f} => {Class=True}
{Bkblk=f,Bkon8=t,Bxqsq=t} => {Class=True}
{Bkon8=t,Bxqsq=t,Dsopp=f} => {Class=True}
{Bkon8=t,Bxqsq=t,Skrxp=f} => {Class=True}
{Bkon8=t,Bxqsq=t,Wkna8=f} => {Class=True}
{Bkon8=t,Wknck=t,Wkovl=f} => {Class=True}
{Bkon8=t,Bkxbq=f,Wkovl=f} => {Class=True}
{Bkon8=t,Wknck=t,Wtoeg=n} => {Class=True}
{Bkon8=t,Rimmx=f,Wknck=t} => {Class=True}
{Bkon8=t,Wkcti=f,Wknck=t} => {Class=True}
{Bkon8=t,Reskr=f,Wknck=t} => {Class=True}
{Bkon8=t,Dsopp=f,Wknck=t} => {Class=True}
{Bkon8=t,Wkna8=f,Wknck=t} => {Class=True}
{Bkon8=t,Blxwp=t,Rimmx=f} => {Class=True}
{Bkon8=t,Blxwp=t,Wkcti=f} => {Class=True}
{Bkon8=t,Cntxt=t,Rimmx=f} => {Class=True}
{Bkon8=t,Cntxt=t,Wkcti=f} => {Class=True}
{Bkon8=t,Bkxbq=f,Rimmx=f} => {Class=True}
{Bkon8=t,Bkxbq=f,Wkcti=f} => {Class=True}
{Bkon8=t,Bkxbq=f,Reskr=f} => {Class=True}
{Bkon8=t,Bkxbq=f,Dsopp=f} => {Class=True}
