{Bkxwp=t,Bxqsq=t} => {Class=True}
{Bkxwp=t,Wknck=t} => {Class=True}
{Blxwp=t,Bxqsq=t} => {Class=True}
{Bxqsq=t,Rimmx=f} => {Class=True}
{Bkxcr=t,Wknck=t} => {Class=True}
{Rimmx=f,Wknck=t} => {Class=True}
{Bkxwp=t,Bxqsq=t,Wkovl=f} => {Class=True}
{Bkxwp=t,Bxqsq=t,Cntxt=t} => {Class=True}
{Bkxbq=f,Bkxwp=t,Bxqsq=t} => {Class=True}
{Bkxwp=t,Bxqsq=t,Simpl=f} => {Class=True}
{Bkspr=f,Bkxwp=t,Bxqsq=t} => {Class=True}
{Bkxwp=t,Bxqsq=t,R2ar8=t} => {Class=True}
{Bkxwp=t,Bxqsq=t,Dwipd=l} => {Class=True}
{Bkxwp=t,Bxqsq=t,Skewr=t} => {Class=True}
{Bkxwp=t,Bxqsq=t,Wtoeg=n} => {Class=True}
{Bkxwp=t,Bxqsq=t,Wkcti=f} => {Class=True}
{Bkxwp=t,Bxqsq=t,Dsopp=f} => {Class=True}
{Bkona=f,Bkxwp=t,Bxqsq=t} => {Class=True}
{Bkxwp=t,Bxqsq=t,Wkna8=f} => {Class=True}
{Bkxwp=t,Bxqsq=t,Skrxp=f} => {Class=True}
{Bkxbq=f,Bkxwp=t,Wkovl=f} => {Class=True}
{Bkxwp=t,Cntxt=f,Wknck=t} => {Class=True}
{Bkxwp=t,Simpl=f,Wknck=t} => {Class=True}
{Bkxwp=t,R2ar8=t,Wknck=t} => {Class=True}
{Bkxwp=t,Dwipd=l,Wknck=t} => {Class=True}
{Bkxwp=t,Katri5=n,Wknck=t} => {Class=True}
{Bkxwp=t,Rimmx=f,Wknck=t} => {Class=True}
{Bkxwp=t,Wkcti=f,Wknck=t} => {Class=True}
{Bkxwp=t,Reskr=f,Wknck=t} => {Class=True}
{Bkxwp=t,Dsopp=f,Wknck=t} => {Class=True}
{Bkona=f,Bkxwp=t,Wknck=t} => {Class=True}
{Bkxwp=t,Wkna8=f,Wknck=t} => {Class=True}
{Bkxwp=t,Skrxp=f,Wknck=t} => {Class=True}
{Bkon8=f,Bkxwp=t,Wknck=t} => {Class=True}
{Rimmx=f,Wknck=t,Wkpos=f} => {Class=True}
{Bkxcr=t,Bxqsq=t,Wkovl=f} => {Class=True}
{Bkxcr=t,Bxqsq=t,Cntxt=t} => {Class=True}
{Bkxbq=f,Bkxcr=t,Bxqsq=t} => {Class=True}
