trivials	empty	rule	c2	c3	c4	c5	f1	f2	f3	f4	f5	covPostCases	confidence	lift	globalQuality	withoutTrivial	optimised	iteration	treeNode	simplification	oneCatAltIndex	extLength	covPostCases2	support
1	""	F1< 0.407	F3>=0.3545	" "	" "	" "	F1	F3	" "	" "	" "	0.811111111111111	0.820224719101124	9	0.665293383270911	=if(or(A2 = "R";isnumber(match(c2;a$1:a$1000;0));isnumber(match(h2;a$1:a$1000;0));isnumber(match(d2;a$1:a$1000;0));isnumber(match(i2;a$1:a$1000;0));isnumber(match(e2;a$1:a$1000;0));isnumber(match(j2;a$1:a$1000;0));isnumber(match(f2;a$1:a$1000;0));isnumber(match(k2;a$1:a$1000;0));isnumber(match(g2;a$1:a$1000;0));isnumber(match(l2;a$1:a$1000;0)));0;p2)	ShorterRule		61	1	2	1	73	89
2	""	0.675675675675676	0.163873370577281								""	""	""	""	""	=if(or(A2 = "R";isnumber(match(c2;a$1:a$1000;0));isnumber(match(h2;a$1:a$1000;0));isnumber(match(d2;a$1:a$1000;0));isnumber(match(i2;a$1:a$1000;0));isnumber(match(e2;a$1:a$1000;0));isnumber(match(j2;a$1:a$1000;0));isnumber(match(f2;a$1:a$1000;0));isnumber(match(k2;a$1:a$1000;0));isnumber(match(g2;a$1:a$1000;0));isnumber(match(l2;a$1:a$1000;0)));0;p2)	ShorterRule		61	1	2	""	""	""
3	""	-0.163873370577281	-0.675675675675676								""	""	""	""	""	=if(or(A2 = "R";isnumber(match(c2;a$1:a$1000;0));isnumber(match(h2;a$1:a$1000;0));isnumber(match(d2;a$1:a$1000;0));isnumber(match(i2;a$1:a$1000;0));isnumber(match(e2;a$1:a$1000;0));isnumber(match(j2;a$1:a$1000;0));isnumber(match(f2;a$1:a$1000;0));isnumber(match(k2;a$1:a$1000;0));isnumber(match(g2;a$1:a$1000;0));isnumber(match(l2;a$1:a$1000;0)));0;p2)	ShorterRule		61	1	2	""	""	""
4	""	 	 	 	 	 	 	 	 	 	""	""	""	""	""	=if(or(A2 = "R";isnumber(match(c2;a$1:a$1000;0));isnumber(match(h2;a$1:a$1000;0));isnumber(match(d2;a$1:a$1000;0));isnumber(match(i2;a$1:a$1000;0));isnumber(match(e2;a$1:a$1000;0));isnumber(match(j2;a$1:a$1000;0));isnumber(match(f2;a$1:a$1000;0));isnumber(match(k2;a$1:a$1000;0));isnumber(match(g2;a$1:a$1000;0));isnumber(match(l2;a$1:a$1000;0)));0;p2)	ShorterRule		61	1	2	""	""	""
5	""	F1< 0.407	F3>=0.3545	F5>=0.5195	F3>=0.9475	" "	F1	F3	F5	F3	" "	0.622222222222222	0.982456140350877	10.79	0.61130604288499	=if(or(A6 = "R";isnumber(match(c6;a$1:a$1000;0));isnumber(match(h6;a$1:a$1000;0));isnumber(match(d6;a$1:a$1000;0));isnumber(match(i6;a$1:a$1000;0));isnumber(match(e6;a$1:a$1000;0));isnumber(match(j6;a$1:a$1000;0));isnumber(match(f6;a$1:a$1000;0));isnumber(match(k6;a$1:a$1000;0));isnumber(match(g6;a$1:a$1000;0));isnumber(match(l6;a$1:a$1000;0)));0;p6)	From Tree node		31	""	""	1	56	57
6	""	0.675675675675676	0.163873370577281	0.144508670520231	0.245733788395904						""	""	""	""	""	=if(or(A6 = "R";isnumber(match(c6;a$1:a$1000;0));isnumber(match(h6;a$1:a$1000;0));isnumber(match(d6;a$1:a$1000;0));isnumber(match(i6;a$1:a$1000;0));isnumber(match(e6;a$1:a$1000;0));isnumber(match(j6;a$1:a$1000;0));isnumber(match(f6;a$1:a$1000;0));isnumber(match(k6;a$1:a$1000;0));isnumber(match(g6;a$1:a$1000;0));isnumber(match(l6;a$1:a$1000;0)));0;p6)	From Tree node		31	""	""	""	""	""
7	""	-0.354037267080745	-0.982456140350877	-0.904761904761905	-0.878048780487805						""	""	""	""	""	=if(or(A6 = "R";isnumber(match(c6;a$1:a$1000;0));isnumber(match(h6;a$1:a$1000;0));isnumber(match(d6;a$1:a$1000;0));isnumber(match(i6;a$1:a$1000;0));isnumber(match(e6;a$1:a$1000;0));isnumber(match(j6;a$1:a$1000;0));isnumber(match(f6;a$1:a$1000;0));isnumber(match(k6;a$1:a$1000;0));isnumber(match(g6;a$1:a$1000;0));isnumber(match(l6;a$1:a$1000;0)));0;p6)	From Tree node		31	""	""	""	""	""
8	""	 	 	 	 	 	 	 	 	 	""	""	""	""	""	=if(or(A6 = "R";isnumber(match(c6;a$1:a$1000;0));isnumber(match(h6;a$1:a$1000;0));isnumber(match(d6;a$1:a$1000;0));isnumber(match(i6;a$1:a$1000;0));isnumber(match(e6;a$1:a$1000;0));isnumber(match(j6;a$1:a$1000;0));isnumber(match(f6;a$1:a$1000;0));isnumber(match(k6;a$1:a$1000;0));isnumber(match(g6;a$1:a$1000;0));isnumber(match(l6;a$1:a$1000;0)));0;p6)	From Tree node		31	""	""	""	""	""
9	""	F1< 0.407	F8< -0.175	" "	" "	" "	F1	F8	" "	" "	" "	0.755555555555556	0.8	8.78	0.604444444444444	=if(or(A10 = "R";isnumber(match(c10;a$1:a$1000;0));isnumber(match(h10;a$1:a$1000;0));isnumber(match(d10;a$1:a$1000;0));isnumber(match(i10;a$1:a$1000;0));isnumber(match(e10;a$1:a$1000;0));isnumber(match(j10;a$1:a$1000;0));isnumber(match(f10;a$1:a$1000;0));isnumber(match(k10;a$1:a$1000;0));isnumber(match(g10;a$1:a$1000;0));isnumber(match(l10;a$1:a$1000;0)));0;p10)	ShorterRule	112	53	1	3	1	68	85
10	""	0.675675675675676	0.12736660929432								""	""	""	""	""	=if(or(A10 = "R";isnumber(match(c10;a$1:a$1000;0));isnumber(match(h10;a$1:a$1000;0));isnumber(match(d10;a$1:a$1000;0));isnumber(match(i10;a$1:a$1000;0));isnumber(match(e10;a$1:a$1000;0));isnumber(match(j10;a$1:a$1000;0));isnumber(match(f10;a$1:a$1000;0));isnumber(match(k10;a$1:a$1000;0));isnumber(match(g10;a$1:a$1000;0));isnumber(match(l10;a$1:a$1000;0)));0;p10)	ShorterRule	112	53	1	3	""	""	""
