@relation  german
@attribute StatusAccount{A11,A12,A14,A13}
@attribute DurationMonth {0,1,2,3,4,5,6,7,8,9}
@attribute CreditHistory{A34,A32,A33,A30,A31}
@attribute Purpose{A43,A46,A42,A40,A41,A49,A44,A45,A410,A48}
@attribute CreditAmount {0,1,2,3,4,5,6,7,8,9}
@attribute SavingsAccount{A65,A61,A63,A64,A62}
@attribute EmploymentSince{A75,A73,A74,A71,A72}
@attribute InstallmentRate {0,1,2,3}
@attribute StatusAndSex{A93,A92,A91,A94}
@attribute Guarantors{A101,A103,A102}
@attribute ResidenceSince {0,1,2,3}
@attribute Property{A121,A122,A124,A123}
@attribute Age {0,1,2,3,4,5,6,7,8,9}
@attribute InstallmentPlans{A143,A141,A142}
@attribute Housing{A152,A153,A151}
@attribute NCredits {0,1,2}
@attribute Job{A173,A172,A174,A171}
@attribute NPeopleMain {0,1}
@attribute Telephone{A192,A191}
@attribute ForeignWorker{A201,A202}
@attribute Customer{False,True}
@inputs StatusAccount,DurationMonth,CreditHistory,Purpose,CreditAmount,SavingsAccount,EmploymentSince,InstallmentRate,StatusAndSex,Guarantors,ResidenceSince,Property,Age,InstallmentPlans,Housing,NCredits,Job,NPeopleMain,Telephone,ForeignWorker
@outputs Customer
@data
A11,0,A34,A43,1,A65,A75,3,A93,A101,3,A121,9,A143,A152,1,A173,0,A192,A201,False
A12,9,A32,A43,8,A61,A73,1,A92,A101,1,A121,0,A143,A152,0,A173,0,A191,A201,True
A14,2,A34,A46,4,A61,A74,1,A93,A101,2,A121,8,A143,A152,0,A172,1,A191,A201,False
A11,9,A32,A42,9,A61,A74,1,A93,A103,3,A122,8,A143,A153,0,A173,1,A191,A201,False
A11,6,A33,A40,8,A61,A73,2,A93,A101,3,A124,9,A143,A153,1,A173,1,A191,A201,True
A14,8,A32,A46,9,A65,A73,1,A93,A101,3,A124,6,A143,A153,0,A172,1,A192,A201,False
A14,6,A32,A42,5,A63,A75,2,A93,A101,3,A122,9,A143,A152,0,A173,0,A191,A201,False
A14,2,A32,A43,6,A64,A74,1,A91,A101,3,A121,9,A143,A152,0,A172,0,A191,A201,False
A12,8,A34,A40,8,A61,A71,3,A94,A101,1,A123,3,A143,A152,1,A174,0,A191,A201,True
A12,2,A32,A43,3,A61,A73,0,A92,A101,0,A123,0,A143,A152,0,A173,0,A192,A201,False
A11,3,A32,A40,2,A61,A73,1,A92,A101,3,A123,3,A143,A151,0,A173,0,A191,A201,False
