@relation australian
@attribute A1{0,1}
@attribute A2 real[16.0,8025.0]
@attribute A3 real[0.0,26335.0]
@attribute A4{1,2,3}
@attribute A5 integer[1,14]
@attribute A6 integer[1,9]
@attribute A7 real[0.0,14415.0]
@attribute A8{0,1}
@attribute A9{0,1}
@attribute A10 integer[0,67]
@attribute A11{0,1}
@attribute A12{1,2,3}
@attribute A13 integer[0,2000]
@attribute A14 integer[1,100001]
@attribute Class{False,True}
@inputs A1, A2, A3, A4, A5, A6, A7, A8, A9, A10, A11, A12, A13, A14
@outputs Class
@data
1,2208.0,1146.0,2,4.0,4.0,1585.0,0,0,0.0,1,2,100.0,1213.0,False
0,2267.0,7.0,2,8.0,4.0,165.0,0,0,0.0,0,2,160.0,1.0,False
0,2958.0,175.0,1,4.0,4.0,125.0,0,0,0.0,1,2,280.0,1.0,False
0,2167.0,115.0,1,5.0,3.0,0.0,1,1,11.0,1,2,0.0,1.0,True
1,2017.0,817.0,2,6.0,4.0,196.0,1,1,14.0,0,2,60.0,159.0,True
0,1583.0,585.0,2,8.0,8.0,15.0,1,1,2.0,0,2,100.0,1.0,True
1,1742.0,65.0,2,3.0,4.0,125.0,0,0,0.0,0,2,60.0,101.0,False
0,5867.0,446.0,2,11.0,8.0,304.0,1,1,6.0,0,2,43.0,561.0,True
1,2783.0,1.0,1,2.0,8.0,3.0,0,0,0.0,0,2,176.0,538.0,False
0,5575.0,708.0,2,4.0,8.0,675.0,1,1,3.0,1,2,100.0,51.0,False
1,335.0,175.0,2,14.0,8.0,45.0,1,1,4.0,1,2,253.0,858.0,True
1,4142.0,5.0,2,11.0,8.0,5.0,1,1,6.0,1,2,470.0,1.0,True
1,2067.0,125.0,1,8.0,8.0,1375.0,1,1,3.0,1,2,140.0,211.0,False
1,3492.0,5.0,2,14.0,8.0,75.0,1,1,6.0,1,2,0.0,1001.0,True
1,5858.0,271.0,2,8.0,4.0,2415.0,0,0,0.0,1,2,320.0,1.0,False
1,4808.0,604.0,2,4.0,4.0,4.0,0,0,0.0,0,2,0.0,2691.0,True
1,2958.0,45.0,2,9.0,4.0,75.0,1,1,2.0,1,2,330.0,1.0,True
0,1892.0,9.0,2,6.0,4.0,75.0,1,1,2.0,0,2,88.0,592.0,True
1,20.0,125.0,1,4.0,4.0,125.0,0,0,0.0,0,2,140.0,5.0,False
0,2242.0,5665.0,2,11.0,4.0,2585.0,1,1,7.0,0,2,129.0,3258.0,True
0,2817.0,585.0,2,6.0,4.0,4.0,0,0,0.0,0,2,260.0,1005.0,False
0,1917.0,585.0,1,6.0,4.0,585.0,1,0,0.0,1,2,160.0,1.0,False
1,4117.0,1335.0,2,2.0,4.0,165.0,0,0,0.0,0,2,168.0,1.0,False
1,4158.0,175.0,2,4.0,4.0,21.0,1,0,0.0,0,2,160.0,1.0,False
1,195.0,9585.0,2,6.0,4.0,79.0,0,0,0.0,0,2,80.0,351.0,False
1,3275.0,15.0,2,13.0,8.0,55.0,1,1,3.0,1,2,0.0,1.0,True
1,225.0,125.0,1,4.0,4.0,125.0,0,0,0.0,0,2,200.0,71.0,False
1,3317.0,304.0,1,8.0,8.0,204.0,1,1,1.0,1,2,180.0,18028.0,True
0,3067.0,12.0,2,8.0,4.0,2.0,1,1,1.0,0,2,220.0,20.0,True
1,2308.0,25.0,2,8.0,4.0,1085.0,1,1,11.0,1,2,60.0,2185.0,True
1,27.0,75.0,2,8.0,8.0,425.0,1,1,3.0,1,2,312.0,151.0,True
0,2042.0,105.0,1,14.0,8.0,0.0,0,0,0.0,1,2,154.0,33.0,False
1,5233.0,1375.0,1,8.0,8.0,946.0,1,0,0.0,1,2,200.0,101.0,False
1,2308.0,115.0,2,9.0,8.0,2125.0,1,1,11.0,1,2,290.0,285.0,True
1,4283.0,125.0,2,7.0,4.0,13875.0,0,1,1.0,1,2,352.0,113.0,False
1,7483.0,19.0,1,1.0,1.0,4.0,0,1,2.0,0,2,0.0,352.0,False
1,25.0,125.0,2,6.0,4.0,3.0,1,0,0.0,1,1,20.0,1.0,True
1,3958.0,13915.0,2,9.0,4.0,8625.0,1,1,6.0,1,2,70.0,1.0,True
0,4775.0,8.0,2,8.0,4.0,7875.0,1,1,6.0,1,2,0.0,1261.0,True
0,4742.0,3.0,2,14.0,4.0,13875.0,1,1,2.0,1,2,519.0,1705.0,True
1,2317.0,0.0,2,13.0,4.0,85.0,1,0,0.0,0,2,0.0,1.0,True
1,2258.0,15.0,1,6.0,4.0,54.0,0,0,0.0,1,2,120.0,68.0,False
