@relation  iris
@attribute SepalLength {0,1,2,3,4,5,6,7,8,9}
@attribute SepalWidth {0,1,2,3,4,5,6,7,8,9}
@attribute PetalLength {0,1,2,3,4,5,6,7,8,9}
@attribute PetalWidth {0,1,2,3,4,5,6,7,8,9}
@attribute Class{False,True}
@inputs SepalLength,SepalWidth,PetalLength,PetalWidth
@outputs Class
@data
2,8,1,1,False
1,4,1,1,False
0,5,1,1,False
1,8,1,1,False
3,9,3,2,False
0,7,1,2,False
1,7,1,1,False
0,4,1,1,False
3,9,1,1,False
0,7,3,1,False
0,4,1,1,False
0,4,0,1,False
5,9,1,2,False
3,9,1,2,False
2,8,1,2,False
5,9,3,2,False
2,9,1,2,False
3,7,3,1,False
2,9,1,2,False
0,8,0,1,False
2,7,3,3,False
0,7,3,1,False
1,4,3,1,False
1,7,3,2,False
2,8,1,1,False
2,7,1,1,False
0,6,3,1,False
0,5,3,1,False
3,7,1,2,False
2,9,1,1,False
4,9,1,1,False
1,5,1,1,False
1,6,0,1,False
4,8,1,1,False
1,5,1,1,False
0,4,1,1,False
2,7,1,1,False
1,8,1,2,False
0,0,1,2,False
2,9,3,2,False
0,4,1,2,False
2,9,3,1,False
0,6,1,1,False
3,9,1,1,False
1,7,1,1,False
9,6,6,6,False
7,6,5,6,False
8,5,7,6,False
4,0,4,4,False
5,2,5,4,False
6,7,6,6,False
1,0,3,3,False
2,1,3,6,False
1,0,3,3,False
5,4,4,6,False
6,0,4,3,False
6,4,6,6,False
4,4,3,4,False
8,5,5,6,False
4,4,5,6,False
5,1,4,3,False
6,0,5,6,False
4,0,3,3,False
5,6,6,7,False
6,2,4,4,False
6,0,7,6,False
6,2,6,4,False
7,4,4,4,False
8,4,5,6,False
8,4,7,7,False
5,1,3,3,False
4,0,3,3,False
4,0,3,3,False
5,1,3,4,False
6,1,7,6,False
3,4,5,6,False
8,5,6,6,False
6,0,5,4,False
4,4,4,4,False
4,0,4,4,False
4,1,5,4,False
6,4,5,6,False
5,1,4,4,False
1,0,3,3,False
4,1,4,4,False
5,4,4,4,False
5,4,4,4,False
6,4,4,4,False
2,0,3,3,False
5,2,4,4,False
6,7,9,9,True
5,1,7,7,True
9,4,9,8,True
6,4,8,7,True
7,4,8,8,True
9,4,9,8,True
1,0,5,7,True
9,4,9,7,True
8,0,8,7,True
9,8,9,9,True
7,6,7,8,True
7,1,7,7,True
8,4,8,8,True
5,0,7,8,True
5,2,7,9,True
7,6,7,9,True
9,9,9,8,True
4,2,7,8,True
9,2,9,8,True
6,1,7,7,True
8,7,8,8,True
9,6,9,7,True
6,4,7,7,True
7,2,8,8,True
9,4,8,6,True
9,2,9,7,True
9,9,9,8,True
7,2,8,8,True
6,2,7,6,True
6,1,8,6,True
9,4,9,9,True
6,7,8,9,True
7,5,8,7,True
6,4,6,7,True
8,5,8,8,True
8,5,8,9,True
8,5,7,9,True
5,1,7,7,True
8,6,9,9,True
8,7,8,9,True
8,4,7,9,True
6,0,7,7,True
7,4,7,8,True
6,7,8,9,True
5,4,7,7,True
0,6,1,1,False
1,5,1,1,False
5,9,0,1,False
0,6,1,1,False
1,8,3,3,False
7,2,5,6,False
8,4,5,4,False
8,2,6,6,False
6,4,5,6,False
6,7,5,6,False
7,4,8,7,True
9,1,9,9,True
6,0,7,6,True
8,6,8,9,True
6,2,6,7,True
