<?xml version="1.0" encoding="UTF-8"?>
<values>
Support	antecedent_support	consequent_support	Confidence	Lift	Conv	CF	NetConf	YulesQ	nAttributes
0.23	0.3	0.37	0.76	2.08	2.57	0.62	0.56	0.85	2
0.69	0.72	0.85	0.96	1.13	3.44	0.71	0.39	0.89	2
0.48	0.64	0.54	0.76	1.43	1.92	0.48	0.62	0.9	2
0.72	0.73	0.92	0.99	1.09	6.3	0.85	0.27	0.94	2
0.67	0.68	0.92	0.99	1.09	8.37	0.89	0.24	0.94	2
0.69	0.7	0.92	0.99	1.09	7.6	0.87	0.26	0.94	2
0.52	0.54	0.83	0.96	1.16	3.82	0.74	0.29	0.83	2
0.5	0.54	0.77	0.93	1.22	3.25	0.7	0.36	0.81	2
0.52	0.54	0.81	0.95	1.18	3.67	0.73	0.32	0.82	2
0.52	0.55	0.81	0.95	1.18	3.73	0.74	0.31	0.83	2
0.82	0.83	0.95	0.99	1.05	3.99	0.75	0.23	0.92	2
0.5	0.55	0.72	0.91	1.26	2.96	0.67	0.41	0.82	2
0.05	0.07	0.18	0.8	4.65	3.96	0.75	0.67	0.93	2
0.15	0.2	0.37	0.78	2.14	2.79	0.65	0.51	0.81	3
0.13	0.17	0.37	0.78	2.15	2.85	0.65	0.5	0.8	3
0.14	0.18	0.37	0.78	2.14	2.81	0.65	0.51	0.81	3
0.08	0.09	0.37	0.83	2.29	3.67	0.73	0.51	0.83	3
0.12	0.15	0.37	0.81	2.24	3.34	0.7	0.53	0.83	3
0.19	0.24	0.37	0.77	2.13	2.77	0.64	0.54	0.84	3
0.75	0.75	0.99	1.0	1.02	8.91	0.89	0.05	0.95	3
0.44	0.56	0.54	0.79	1.48	2.18	0.54	0.57	0.86	3
0.52	0.53	0.85	0.97	1.15	5.08	0.81	0.27	0.86	3
0.58	0.6	0.85	0.97	1.15	4.8	0.8	0.3	0.88	3
0.62	0.63	0.92	1.0	1.09	9.08	0.89	0.21	0.94	3
0.49	0.52	0.81	0.95	1.19	3.91	0.75	0.31	0.83	3
0.36	0.37	0.81	0.99	1.23	11.99	0.92	0.29	0.93	3
0.36	0.37	0.77	0.98	1.28	8.58	0.89	0.33	0.91	3
0.5	0.53	0.81	0.96	1.18	4.0	0.75	0.31	0.83	3
0.79	0.8	0.95	0.99	1.05	4.68	0.79	0.21	0.92	3
0.79	0.8	0.96	0.99	1.04	4.67	0.79	0.18	0.92	3
0.49	0.53	0.77	0.94	1.22	3.42	0.71	0.35	0.82	3
0.03	0.03	0.18	0.85	4.98	5.4	0.82	0.7	0.94	3
0.6	0.62	0.85	0.97	1.15	4.76	0.79	0.32	0.89	3
0.03	0.04	0.18	0.85	4.97	5.32	0.82	0.7	0.94	3
0.15	0.2	0.37	0.79	2.17	2.91	0.66	0.52	0.82	4
0.13	0.16	0.37	0.79	2.19	3.05	0.68	0.51	0.82	4
0.02	0.05	0.04	0.25	6.62	1.28	0.22	0.22	0.85	4
0.02	0.08	0.04	0.23	6.13	1.25	0.2	0.21	0.86	4
0.02	0.09	0.04	0.22	5.91	1.24	0.19	0.2	0.87	4
0.68	0.68	0.99	1.0	1.02	Infinity	1.0	0.04	1.0	4
0.02	0.05	0.04	0.27	7.08	1.31	0.24	0.24	0.86	4
0.35	0.44	0.54	0.79	1.49	2.21	0.55	0.46	0.77	4
0.77	0.78	0.95	0.99	1.05	5.15	0.81	0.2	0.93	4
0.77	0.78	0.96	1.0	1.04	5.22	0.81	0.17	0.92	4
0.52	0.53	0.85	0.98	1.15	5.39	0.82	0.27	0.87	4
0.11	0.13	0.37	0.82	2.28	3.55	0.72	0.53	0.83	5
0.02	0.04	0.04	0.32	8.5	1.41	0.29	0.29	0.89	5
0.02	0.04	0.04	0.32	8.5	1.41	0.29	0.29	0.89	5
0.02	0.07	0.04	0.28	7.42	1.33	0.25	0.26	0.9	5
0.38	0.48	0.54	0.79	1.49	2.24	0.56	0.5	0.81	5
0.02	0.03	0.18	0.86	5.05	5.81	0.83	0.71	0.95	5
0.02	0.03	0.04	0.4	10.62	1.59	0.37	0.37	0.92	6
</values>
