<?xml version="1.0" encoding="UTF-8"?>
<values>
Support	antecedent_support	consequent_support	Confidence	Lift	Conv	CF	NetConf	YulesQ	nAttributes
0.65	0.65	0.86	0.99	1.16	10.07	0.91	0.38	0.96	2
0.04	0.04	0.06	1.0	19.46	Infinity	1.0	0.99	1.0	2
0.73	0.73	0.93	1.0	1.09	Infinity	1.0	0.28	1.0	2
0.03	0.03	0.04	0.84	25.48	5.81	0.83	0.83	1.0	2
0.08	0.09	0.2	0.79	4.03	3.82	0.74	0.66	0.92	2
0.16	0.2	0.26	0.81	3.15	3.91	0.75	0.69	0.94	2
0.12	0.2	0.16	0.6	3.87	2.09	0.53	0.55	0.94	2
0.62	0.64	0.78	0.98	1.26	7.63	0.87	0.54	0.96	2
0.55	0.7	0.6	0.79	1.33	1.9	0.48	0.64	0.91	2
0.51	0.64	0.59	0.8	1.35	2.0	0.5	0.57	0.86	2
0.14	0.19	0.2	0.72	3.66	2.85	0.65	0.64	0.94	2
0.34	0.46	0.47	0.74	1.59	2.03	0.51	0.51	0.81	2
0.72	0.72	0.9	1.0	1.12	Infinity	1.0	0.37	1.0	2
0.06	0.08	0.07	0.74	11.21	3.51	0.72	0.72	0.99	2
0.06	0.07	0.2	0.93	4.71	10.45	0.91	0.78	0.98	2
0.83	0.83	0.98	1.0	1.03	Infinity	1.0	0.14	1.0	2
0.83	0.83	0.98	1.0	1.03	Infinity	1.0	0.16	1.0	2
0.12	0.15	0.25	0.84	3.37	4.52	0.78	0.69	0.94	2
0.58	0.67	0.66	0.86	1.31	2.36	0.58	0.6	0.89	2
0.02	0.02	0.03	0.75	32.11	3.91	0.75	0.75	1.0	2
0.71	0.72	0.86	0.99	1.15	7.44	0.87	0.45	0.96	2
0.7	0.71	0.86	0.99	1.16	7.53	0.87	0.45	0.96	2
0.07	0.07	0.24	0.93	3.9	10.67	0.91	0.74	0.97	2
0.64	0.65	0.79	0.98	1.25	7.64	0.87	0.55	0.96	2
0.6	0.65	0.72	0.93	1.3	3.67	0.73	0.61	0.93	2
0.65	0.65	0.89	1.0	1.14	Infinity	1.0	0.34	1.0	2
0.1	0.13	0.14	0.81	5.97	4.5	0.78	0.77	0.98	3
0.03	0.03	0.04	1.0	30.58	Infinity	1.0	1.0	1.0	3
0.03	0.03	0.04	1.0	30.58	Infinity	1.0	1.0	1.0	3
0.03	0.03	0.04	1.0	30.58	Infinity	1.0	1.0	1.0	3
0.03	0.04	0.04	0.86	26.21	6.78	0.86	0.86	1.0	3
0.72	0.72	0.93	1.0	1.09	Infinity	1.0	0.27	1.0	3
0.03	0.03	0.04	1.0	30.58	Infinity	1.0	1.0	1.0	3
0.03	0.03	0.04	1.0	30.58	Infinity	1.0	1.0	1.0	3
0.15	0.17	0.26	0.87	3.36	5.35	0.82	0.73	0.96	3
0.58	0.58	0.78	1.0	1.29	Infinity	1.0	0.54	1.0	3
0.52	0.52	0.7	1.0	1.44	Infinity	1.0	0.63	1.0	3
0.52	0.55	0.65	0.96	1.5	8.35	0.89	0.7	0.97	3
0.5	0.54	0.59	0.93	1.58	5.86	0.83	0.73	0.97	3
0.12	0.15	0.2	0.75	3.83	3.22	0.69	0.66	0.93	3
0.63	0.65	0.74	0.97	1.32	7.41	0.87	0.66	0.97	3
0.58	0.59	0.73	0.99	1.36	17.24	0.95	0.63	0.99	3
0.06	0.06	0.07	0.92	14.02	11.22	0.92	0.91	1.0	3
0.06	0.06	0.07	0.92	14.02	11.22	0.92	0.91	1.0	3
0.2	0.21	0.52	0.96	1.86	10.7	0.91	0.56	0.94	3
0.05	0.06	0.06	0.91	17.69	10.44	0.91	0.91	1.0	3
0.05	0.05	0.06	1.0	19.46	Infinity	1.0	1.0	1.0	3
0.02	0.02	0.02	1.0	53.5	Infinity	1.0	1.0	1.0	3
0.02	0.02	0.02	1.0	53.5	Infinity	1.0	1.0	1.0	3
0.05	0.06	0.06	0.91	17.69	10.44	0.91	0.91	1.0	3
0.54	0.57	0.65	0.95	1.47	7.01	0.86	0.69	0.97	3
0.61	0.61	0.79	1.0	1.29	Infinity	1.0	0.56	1.0	3
0.65	0.66	0.79	1.0	1.28	30.75	0.97	0.62	1.0	3
0.13	0.14	0.26	0.93	3.62	10.41	0.91	0.78	0.98	4
0.5	0.52	0.59	0.96	1.63	9.05	0.89	0.76	0.98	4
0.07	0.07	0.13	1.0	7.93	Infinity	1.0	0.94	1.0	4
0.09	0.09	0.15	1.0	7.14	Infinity	1.0	0.94	1.0	4
0.72	0.74	0.76	0.97	1.29	7.78	0.88	0.82	0.99	4
0.03	0.03	0.03	1.0	35.67	Infinity	1.0	1.01	1.0	4
0.02	0.02	0.02	1.0	71.34	Infinity	1.0	1.0	1.0	4
0.02	0.02	0.02	1.0	71.34	Infinity	1.0	1.0	1.0	4
0.02	0.02	0.02	1.0	71.34	Infinity	1.0	1.0	1.0	4
0.02	0.02	0.02	1.0	71.34	Infinity	1.0	1.0	1.0	4
0.02	0.02	0.02	1.0	71.34	Infinity	1.0	1.0	1.0	4
0.08	0.11	0.09	0.73	8.65	3.36	0.71	0.72	1.0	4
0.32	0.35	0.57	0.92	1.63	5.36	0.82	0.55	0.9	5
0.58	0.58	0.76	1.0	1.32	30.47	0.97	0.57	0.99	5
</values>
