<?xml version="1.0" encoding="UTF-8"?>
<values>
Support	antecedent_support	consequent_support	Confidence	Lift	Conv	CF	NetConf	YulesQ	nAttributes
0.09	0.13	0.33	0.65	1.97	1.9	0.48	0.37	0.65	2
0.48	0.56	0.68	0.85	1.27	2.15	0.54	0.4	0.75	2
0.03	0.08	0.15	0.41	2.77	1.43	0.3	0.28	0.65	2
0.02	0.04	0.07	0.31	4.77	1.34	0.26	0.25	0.77	2
0.52	0.56	0.81	0.94	1.16	2.89	0.66	0.29	0.77	2
0.45	0.56	0.57	0.8	1.41	2.12	0.53	0.52	0.83	2
0.28	0.32	0.49	0.89	1.84	4.41	0.78	0.59	0.9	2
0.55	0.56	0.93	0.99	1.07	5.56	0.83	0.14	0.86	2
0.48	0.49	0.86	0.99	1.15	9.15	0.9	0.25	0.92	2
0.47	0.49	0.85	0.97	1.16	5.18	0.81	0.25	0.85	2
0.02	0.03	0.12	0.43	3.74	1.55	0.36	0.33	0.73	2
0.41	0.49	0.64	0.85	1.34	2.39	0.59	0.42	0.76	2
0.11	0.12	0.45	0.85	1.9	3.56	0.72	0.46	0.79	2
0.4	0.45	0.68	0.88	1.31	2.66	0.63	0.38	0.75	2
0.05	0.21	0.07	0.2	3.12	1.17	0.15	0.17	0.79	2
0.55	0.56	0.9	0.98	1.1	5.19	0.81	0.19	0.86	2
0.1	0.18	0.21	0.53	2.52	1.66	0.4	0.39	0.75	2
0.03	0.21	0.04	0.15	3.86	1.13	0.11	0.14	0.9	2
0.05	0.07	0.26	0.65	2.54	2.11	0.53	0.42	0.73	2
0.02	0.02	0.18	1.0	5.87	Infinity	1.0	0.85	1.0	3
0.02	0.02	0.18	1.0	5.87	Infinity	1.0	0.85	1.0	3
0.41	0.43	0.81	0.97	1.2	5.49	0.82	0.28	0.85	3
0.24	0.25	0.49	0.96	1.99	11.41	0.92	0.63	0.96	3
0.16	0.18	0.45	0.92	2.06	6.39	0.85	0.57	0.91	3
0.31	0.33	0.56	0.93	1.66	5.66	0.83	0.55	0.91	3
0.36	0.4	0.56	0.89	1.6	3.97	0.75	0.56	0.88	3
0.25	0.25	0.57	0.98	1.73	14.65	0.94	0.55	0.96	3
0.04	0.04	0.39	1.0	2.6	Infinity	1.0	0.64	1.0	3
0.44	0.46	0.81	0.96	1.19	4.74	0.79	0.28	0.84	3
0.11	0.12	0.45	0.94	2.11	8.62	0.89	0.56	0.92	3
0.13	0.15	0.45	0.93	2.08	7.04	0.86	0.56	0.91	3
0.02	0.04	0.07	0.5	7.95	1.88	0.47	0.46	0.91	3
0.53	0.53	0.9	1.0	1.12	Infinity	1.0	0.22	1.0	3
0.03	0.03	0.21	0.88	4.22	6.35	0.85	0.69	0.94	3
0.02	0.02	0.04	0.61	16.21	2.41	0.59	0.58	0.97	3
0.04	0.05	0.21	0.82	3.95	4.36	0.78	0.64	0.91	3
0.52	0.53	0.86	0.99	1.15	10.0	0.9	0.27	0.93	3
0.52	0.53	0.85	0.98	1.16	5.66	0.83	0.28	0.88	3
0.18	0.19	0.49	0.97	2.0	12.97	0.93	0.59	0.96	4
0.25	0.25	0.57	0.99	1.75	28.85	0.97	0.56	0.98	4
0.34	0.37	0.56	0.92	1.66	5.51	0.82	0.58	0.92	4
0.1	0.1	0.45	1.0	2.26	Infinity	1.0	0.62	1.0	4
0.1	0.13	0.33	0.76	2.3	2.77	0.64	0.49	0.79	4
0.06	0.08	0.33	0.77	2.32	2.82	0.65	0.47	0.78	4
0.02	0.02	0.04	0.81	21.61	4.82	0.8	0.78	0.99	4
0.02	0.03	0.07	0.72	11.35	3.28	0.7	0.67	0.97	4
0.02	0.02	0.04	1.0	27.0	Infinity	1.0	0.98	1.0	4
0.5	0.51	0.86	1.0	1.16	19.15	0.95	0.27	0.97	4
0.03	0.03	0.34	1.0	2.97	Infinity	1.0	0.69	1.0	5
0.31	0.33	0.56	0.94	1.68	6.52	0.85	0.56	0.92	5
0.1	0.12	0.33	0.81	2.45	3.47	0.72	0.54	0.84	5
0.02	0.02	0.04	1.0	27.0	Infinity	1.0	0.98	1.0	5
0.02	0.02	0.04	1.0	27.0	Infinity	1.0	0.98	1.0	5
0.02	0.02	0.04	1.0	27.0	Infinity	1.0	0.98	1.0	5
0.02	0.02	0.04	1.0	27.0	Infinity	1.0	0.98	1.0	5
0.02	0.02	0.04	1.0	27.0	Infinity	1.0	0.98	1.0	5
0.03	0.03	0.2	1.0	5.2	Infinity	1.0	0.83	1.0	6
0.11	0.13	0.34	0.81	2.38	3.32	0.7	0.54	0.84	6
0.08	0.17	0.16	0.47	3.0	1.59	0.37	0.38	0.79	6
0.08	0.13	0.21	0.58	2.78	1.87	0.47	0.42	0.77	6
0.08	0.09	0.34	0.83	2.46	3.82	0.74	0.54	0.85	7
0.08	0.16	0.16	0.49	3.14	1.65	0.4	0.4	0.8	7
</values>
