<?xml version="1.0" encoding="UTF-8"?>
<values>
Support	antecedent_support	consequent_support	Confidence	Lift	Conv	CF	NetConf	YulesQ	nAttributes
0.02	0.02	0.02	1.0	80.0	Infinity	1.0	1.0	1.0	2
0.58	0.59	0.84	0.98	1.17	7.64	0.87	0.35	0.93	2
0.17	0.17	0.74	1.0	1.36	Infinity	1.0	0.32	1.0	2
0.52	0.58	0.72	0.9	1.26	2.65	0.63	0.43	0.81	2
0.53	0.58	0.77	0.92	1.2	2.74	0.64	0.36	0.79	2
0.64	0.7	0.77	0.92	1.2	2.67	0.63	0.5	0.87	2
0.02	0.02	0.02	1.0	80.0	Infinity	1.0	1.0	1.0	2
0.02	0.02	0.02	1.0	80.0	Infinity	1.0	1.0	1.0	2
0.02	0.02	0.02	1.0	80.0	Infinity	1.0	1.0	1.0	2
0.56	0.56	0.91	1.0	1.12	Infinity	1.0	0.23	1.0	2
0.02	0.02	0.02	1.0	80.0	Infinity	1.0	1.0	1.0	2
0.02	0.02	0.02	1.0	80.0	Infinity	1.0	1.0	1.0	2
0.04	0.04	0.17	1.0	6.16	Infinity	1.0	0.88	1.0	2
0.15	0.17	0.42	0.93	2.24	7.64	0.87	0.61	0.93	2
0.46	0.53	0.67	0.86	1.3	2.37	0.58	0.41	0.77	2
0.02	0.02	0.02	1.0	80.0	Infinity	1.0	1.0	1.0	2
0.02	0.02	0.02	1.0	80.0	Infinity	1.0	1.0	1.0	2
0.49	0.53	0.78	0.93	1.2	3.15	0.69	0.33	0.79	2
0.13	0.17	0.22	0.77	3.62	3.42	0.71	0.67	0.94	2
0.02	0.02	0.02	1.0	80.0	Infinity	1.0	1.0	1.0	2
0.02	0.02	0.02	1.0	80.0	Infinity	1.0	1.0	1.0	2
0.02	0.02	0.02	1.0	80.0	Infinity	1.0	1.0	1.0	2
0.5	0.53	0.72	0.96	1.34	6.04	0.84	0.51	0.93	3
0.59	0.6	0.77	0.98	1.29	11.41	0.92	0.55	0.97	3
0.5	0.53	0.72	0.96	1.34	6.04	0.84	0.51	0.93	3
0.63	0.63	0.91	1.0	1.12	Infinity	1.0	0.27	1.0	3
0.67	0.67	0.92	1.0	1.1	Infinity	1.0	0.26	1.0	3
0.03	0.03	0.17	1.0	6.16	Infinity	1.0	0.86	1.0	3
0.06	0.07	0.17	0.81	4.93	4.19	0.77	0.69	0.94	3
0.06	0.07	0.17	0.81	4.93	4.19	0.77	0.69	0.94	3
0.09	0.14	0.15	0.64	4.25	2.34	0.58	0.57	0.92	3
0.12	0.13	0.32	0.91	2.88	6.88	0.86	0.68	0.94	3
0.13	0.13	0.42	1.0	2.43	Infinity	1.0	0.68	1.0	3
0.04	0.09	0.04	0.43	11.43	1.69	0.41	0.43	1.0	3
0.42	0.46	0.66	0.92	1.42	4.2	0.77	0.49	0.88	3
0.18	0.19	0.59	0.94	1.59	6.19	0.84	0.43	0.87	4
0.23	0.25	0.59	0.91	1.54	4.13	0.76	0.42	0.82	4
0.58	0.58	0.77	1.0	1.32	Infinity	1.0	0.56	1.0	4
0.49	0.5	0.72	0.98	1.37	11.5	0.92	0.53	0.96	4
0.58	0.58	0.77	1.0	1.32	Infinity	1.0	0.56	1.0	4
0.33	0.33	0.72	1.0	1.41	Infinity	1.0	0.43	1.0	4
0.03	0.03	0.07	1.0	16.0	Infinity	1.0	0.97	1.0	4
0.07	0.08	0.17	0.84	5.13	5.03	0.81	0.73	0.96	4
0.29	0.29	0.7	1.0	1.43	Infinity	1.0	0.43	1.0	4
0.46	0.5	0.64	0.91	1.42	3.63	0.73	0.53	0.88	6
0.39	0.43	0.64	0.92	1.44	4.11	0.76	0.48	0.87	6
0.38	0.41	0.64	0.94	1.48	5.8	0.83	0.5	0.91	7
0.43	0.47	0.64	0.92	1.45	4.48	0.78	0.53	0.9	7
</values>
