<?xml version="1.0" encoding="UTF-8"?>
<values>
Support	antecedent_support	consequent_support	Confidence	Lift	Conv	CF	NetConf	YulesQ	nAttributes
0.32	0.39	0.41	0.83	2.04	3.38	0.71	0.68	0.93	2
0.38	0.39	0.58	0.99	1.72	29.04	0.97	0.67	0.99	2
0.29	0.29	0.58	1.0	1.75	Infinity	1.0	0.6	1.0	2
0.02	0.02	0.04	1.0	29.67	Infinity	1.0	0.99	1.0	2
0.03	0.03	0.04	0.81	20.35	4.81	0.8	0.79	1.0	2
0.68	0.68	0.98	1.0	1.03	Infinity	1.0	0.08	1.0	2
0.66	0.66	0.98	1.0	1.03	Infinity	1.0	0.07	1.0	2
0.02	0.02	0.03	1.0	44.5	Infinity	1.0	0.99	1.0	2
0.24	0.28	0.27	0.84	3.11	4.48	0.78	0.79	0.98	2
0.12	0.13	0.27	0.87	3.23	5.6	0.83	0.69	0.94	2
0.24	0.27	0.42	0.88	2.11	4.68	0.79	0.63	0.92	2
0.03	0.04	0.07	0.72	11.56	3.29	0.7	0.68	0.98	2
0.57	0.57	0.74	1.0	1.37	Infinity	1.0	0.63	1.0	2
0.1	0.14	0.17	0.71	4.21	2.86	0.65	0.63	0.93	2
0.11	0.16	0.17	0.71	4.18	2.81	0.65	0.64	0.94	2
0.16	0.27	0.17	0.59	3.47	2.0	0.5	0.57	0.98	2
0.09	0.12	0.17	0.72	4.24	2.92	0.66	0.62	0.92	2
0.61	0.61	0.74	1.0	1.37	Infinity	1.0	0.69	1.0	2
0.68	0.69	0.74	0.99	1.35	16.45	0.94	0.81	1.0	2
0.04	0.04	0.17	1.0	5.94	Infinity	1.0	0.87	1.0	2
0.27	0.27	0.53	1.0	1.92	Infinity	1.0	0.66	1.0	2
0.88	0.88	1.0	1.0	1.01	Infinity	1.0	0.05	1.0	2
0.03	0.03	0.04	1.0	25.43	Infinity	1.0	0.99	1.0	3
0.03	0.03	0.04	1.0	25.43	Infinity	1.0	0.99	1.0	3
0.38	0.38	0.58	1.0	1.75	Infinity	1.0	0.68	1.0	3
0.02	0.02	0.02	1.0	89.0	Infinity	1.0	1.0	1.0	3
0.03	0.03	0.04	1.0	25.43	Infinity	1.0	0.99	1.0	3
0.13	0.16	0.26	0.86	3.3	5.01	0.81	0.7	0.94	3
0.22	0.25	0.27	0.89	3.28	6.29	0.85	0.81	0.98	3
0.42	0.45	0.51	0.93	1.83	6.51	0.85	0.76	0.97	3
0.03	0.03	0.07	1.0	16.19	Infinity	1.0	0.97	1.0	3
0.02	0.02	0.02	1.0	89.0	Infinity	1.0	1.0	1.0	3
0.12	0.16	0.17	0.72	4.24	2.92	0.66	0.65	0.95	3
0.06	0.07	0.17	0.82	4.86	4.58	0.79	0.7	0.94	3
0.62	0.62	0.74	1.0	1.37	Infinity	1.0	0.71	1.0	3
0.62	0.63	0.69	0.98	1.42	11.75	0.92	0.78	0.99	3
0.67	0.68	0.74	1.0	1.36	32.36	0.97	0.81	1.0	3
0.54	0.55	0.67	0.99	1.49	32.16	0.97	0.71	1.0	3
0.02	0.02	0.03	1.0	44.5	Infinity	1.0	1.0	1.0	3
0.04	0.04	0.15	1.0	6.85	Infinity	1.0	0.89	1.0	3
0.02	0.02	0.03	1.0	44.5	Infinity	1.0	1.0	1.0	3
0.27	0.27	0.5	1.0	2.0	Infinity	1.0	0.69	1.0	3
0.33	0.36	0.5	0.93	1.85	6.31	0.85	0.66	0.94	3
0.74	0.74	0.98	1.0	1.03	Infinity	1.0	0.09	1.0	3
0.06	0.07	0.21	0.91	4.38	8.72	0.89	0.75	0.97	3
0.18	0.21	0.27	0.89	3.3	6.58	0.85	0.78	0.97	4
0.42	0.45	0.53	0.93	1.76	6.3	0.85	0.73	0.96	4
0.51	0.58	0.55	0.89	1.62	3.87	0.75	0.8	0.98	4
0.03	0.03	0.03	1.0	44.5	Infinity	1.0	1.01	1.0	4
0.03	0.03	0.03	1.0	44.5	Infinity	1.0	1.01	1.0	4
0.37	0.37	0.58	1.0	1.75	Infinity	1.0	0.68	1.0	5
</values>
