<?xml version="1.0" encoding="UTF-8"?>
<values>
Support	antecedent_support	consequent_support	Confidence	Lift	Conv	CF	NetConf	YulesQ	nAttributes
0.65	0.66	0.75	1.0	1.34	37.93	0.98	0.72	1.0	2
0.11	0.15	0.14	0.73	5.37	3.13	0.68	0.7	0.98	2
0.08	0.09	0.1	0.83	8.44	5.24	0.81	0.8	0.99	2
0.58	0.6	0.66	0.98	1.51	15.71	0.94	0.81	1.0	2
0.6	0.62	0.66	0.98	1.5	12.19	0.92	0.83	1.0	2
0.09	0.1	0.14	0.83	6.1	4.84	0.8	0.77	0.98	2
0.62	0.62	0.74	1.0	1.37	Infinity	1.0	0.7	1.0	2
0.18	0.18	0.32	1.0	3.19	83.96	0.99	0.83	1.0	2
0.18	0.18	0.26	0.96	3.75	18.15	0.95	0.86	1.0	2
0.13	0.14	0.22	0.93	4.36	10.36	0.91	0.83	0.99	2
0.63	0.66	0.71	0.97	1.38	8.29	0.88	0.76	0.98	2
0.26	0.26	0.35	0.99	2.81	37.93	0.98	0.86	1.0	2
0.34	0.41	0.35	0.83	2.36	3.71	0.73	0.81	1.0	2
0.14	0.14	0.26	0.98	3.82	34.22	0.98	0.84	1.0	2
0.09	0.11	0.14	0.8	5.9	4.22	0.77	0.74	0.97	2
0.69	0.69	0.83	1.0	1.22	83.96	0.99	0.57	1.0	2
0.13	0.14	0.18	0.9	5.08	7.59	0.87	0.83	0.99	2
0.02	0.04	0.05	0.46	9.41	1.75	0.43	0.42	0.92	2
0.59	0.63	0.62	0.95	1.54	6.6	0.85	0.88	1.0	3
0.11	0.15	0.14	0.73	5.4	3.18	0.69	0.7	0.98	3
0.06	0.07	0.1	0.91	9.2	9.25	0.9	0.86	0.99	3
0.64	0.64	0.74	1.0	1.37	116.02	1.0	0.73	1.0	3
0.07	0.08	0.1	0.86	8.74	6.32	0.85	0.82	0.99	3
0.64	0.64	0.75	1.0	1.35	Infinity	1.0	0.72	1.0	3
0.1	0.13	0.14	0.77	5.66	3.64	0.73	0.72	0.97	3
0.08	0.1	0.14	0.84	6.23	5.37	0.82	0.78	0.98	3
0.74	0.74	0.86	1.0	1.17	24.8	0.96	0.54	1.0	3
0.74	0.74	0.83	1.0	1.21	22.1	0.96	0.64	1.0	3
0.08	0.1	0.09	0.75	8.84	3.67	0.73	0.74	0.99	3
0.65	0.65	0.75	1.0	1.35	Infinity	1.0	0.73	1.0	3
0.07	0.09	0.09	0.76	8.89	3.73	0.74	0.74	0.99	3
0.39	0.39	0.66	1.0	1.54	Infinity	1.0	0.57	1.0	3
0.22	0.24	0.32	0.89	2.86	6.2	0.84	0.76	0.97	3
0.07	0.08	0.1	0.85	8.66	5.98	0.84	0.82	0.99	3
0.04	0.04	0.1	0.96	9.79	22.55	0.96	0.9	1.0	3
0.6	0.6	0.74	1.0	1.37	Infinity	1.0	0.67	1.0	3
0.08	0.09	0.1	0.85	8.59	5.72	0.83	0.82	0.99	3
0.6	0.6	0.66	1.0	1.54	71.39	0.99	0.86	1.0	3
0.03	0.03	0.09	0.85	10.01	6.11	0.84	0.79	0.98	3
0.67	0.67	0.83	1.0	1.22	Infinity	1.0	0.54	1.0	3
0.09	0.1	0.18	0.93	5.24	10.39	0.91	0.83	0.99	3
0.68	0.68	0.83	1.0	1.22	Infinity	1.0	0.55	1.0	3
0.12	0.13	0.18	0.91	5.16	8.76	0.89	0.84	0.99	3
0.57	0.57	0.66	1.0	1.54	134.38	1.0	0.8	1.0	3
0.02	0.03	0.05	0.58	11.83	2.23	0.55	0.54	0.95	3
0.05	0.05	0.1	0.97	9.86	27.06	0.97	0.91	1.0	4
0.04	0.04	0.1	1.0	10.2	Infinity	1.0	0.94	1.0	4
0.6	0.61	0.66	1.0	1.53	48.06	0.98	0.87	1.0	4
0.73	0.73	0.83	1.0	1.21	29.17	0.97	0.63	1.0	4
0.75	0.76	0.86	1.0	1.17	19.08	0.95	0.58	0.99	4
0.73	0.73	0.86	1.0	1.17	36.83	0.98	0.54	1.0	4
0.02	0.03	0.08	0.82	10.68	4.93	0.8	0.76	0.98	4
0.02	0.03	0.06	0.75	12.81	3.77	0.74	0.71	0.98	4
0.51	0.54	0.62	0.95	1.55	7.5	0.87	0.73	0.97	4
0.59	0.59	0.66	1.0	1.54	Infinity	1.0	0.84	1.0	4
0.03	0.04	0.09	0.87	10.24	7.02	0.86	0.82	0.99	4
0.03	0.03	0.09	0.88	10.31	7.33	0.87	0.81	0.99	4
0.51	0.51	0.66	1.0	1.54	Infinity	1.0	0.71	1.0	5
0.02	0.03	0.05	0.69	13.82	3.05	0.68	0.66	0.97	5
0.03	0.03	0.09	0.95	11.09	15.56	0.94	0.88	1.0	5
0.34	0.37	0.6	0.93	1.56	5.13	0.81	0.52	0.9	5
0.32	0.34	0.6	0.94	1.59	6.77	0.86	0.53	0.92	8
0.47	0.49	0.62	0.97	1.59	12.77	0.93	0.69	0.98	8
</values>
