<?xml version="1.0" encoding="UTF-8"?>
<values>
Support	antecedent_support	consequent_support	Confidence	Lift	Conv	CF	NetConf	YulesQ	nAttributes	nDistChrPop
0.22	0.22	0.31	0.96	3.16	16.37	0.94	0.84	0.99	2	0.78
0.23	0.24	0.36	0.97	2.68	16.33	0.94	0.79	0.99	2	0.85
0.12	0.13	0.18	0.89	5.01	7.41	0.87	0.82	0.98	2	0.87
0.11	0.11	0.31	1.0	3.3	Infinity	1.0	0.78	1.0	2	0.76
0.03	0.03	0.05	1.0	23.78	Infinity	1.0	0.99	1.0	2	0.85
0.02	0.02	0.04	1.0	26.75	Infinity	1.0	0.98	1.0	2	0.89
0.57	0.68	0.59	0.84	1.42	2.49	0.6	0.77	0.97	2	0.85
0.01	0.01	0.06	1.0	19.46	Infinity	1.0	0.96	1.0	2	0.84
0.01	0.01	0.03	1.0	42.81	Infinity	1.0	0.99	1.0	2	0.89
0.01	0.01	0.03	1.0	35.67	Infinity	1.0	0.98	1.0	2	0.89
0.01	0.01	0.05	1.0	23.78	Infinity	1.0	0.97	1.0	2	0.94
0.01	0.01	0.06	1.0	19.46	Infinity	1.0	0.96	1.0	2	0.89
0.71	0.79	0.73	0.9	1.23	2.55	0.61	0.79	0.98	2	0.7
0.01	0.01	0.09	1.0	11.89	Infinity	1.0	0.93	1.0	2	0.86
0.01	0.01	0.1	1.0	10.2	Infinity	1.0	0.91	1.0	2	0.92
0.11	0.14	0.27	0.76	2.9	3.06	0.68	0.58	0.87	2	0.88
0.73	0.87	0.74	0.85	1.15	1.67	0.41	0.78	0.98	2	0.75
0.71	0.9	0.71	0.79	1.12	1.37	0.27	0.79	1.0	2	0.87
0.01	0.01	0.21	1.0	4.98	Infinity	1.0	0.81	1.0	2	0.92
</values>
