<?xml version="1.0" encoding="UTF-8"?>
<values>
Support	antecedent_support	consequent_support	Confidence	Lift	Conv	CF	NetConf	YulesQ	nAttributes
0.1	0.16	0.18	0.66	3.7	2.38	0.58	0.57	0.9	2
0.62	0.62	0.79	1.0	1.28	Infinity	1.0	0.58	1.0	2
0.22	0.22	0.39	1.0	2.63	Infinity	1.0	0.8	1.0	2
0.96	0.96	1.0	1.0	1.01	Infinity	1.0	0.01	0.0	2
0.06	0.06	0.27	1.0	3.76	Infinity	1.0	0.78	1.0	2
0.04	0.08	0.12	0.54	4.8	1.92	0.48	0.46	0.87	2
0.95	0.95	0.99	1.0	1.02	Infinity	1.0	0.27	1.0	2
0.44	0.44	0.7	1.0	1.45	Infinity	1.0	0.54	1.0	2
0.02	0.02	0.06	1.0	18.27	Infinity	1.0	0.96	1.0	2
0.02	0.05	0.02	0.34	23.0	1.49	0.33	0.34	1.0	3
0.01	0.01	0.02	0.64	43.07	2.69	0.63	0.63	0.99	3
0.62	0.62	0.62	1.0	1.62	Infinity	1.0	1.0	1.0	3
0.17	0.17	0.21	1.0	5.0	Infinity	1.0	0.96	1.0	3
0.22	0.22	0.39	1.0	2.63	Infinity	1.0	0.79	1.0	3
0.03	0.03	0.12	1.0	8.96	Infinity	1.0	0.91	1.0	3
0.19	0.19	0.22	1.0	4.6	Infinity	1.0	0.96	1.0	3
0.08	0.08	0.19	1.0	5.48	Infinity	1.0	0.89	1.0	3
0.02	0.04	0.02	0.41	27.32	1.65	0.4	0.41	1.0	4
0.01	0.01	0.02	0.74	49.7	3.66	0.73	0.73	1.0	4
0.02	0.03	0.02	0.44	29.26	1.73	0.43	0.43	1.0	4
0.01	0.01	0.02	0.93	62.77	12.81	0.93	0.92	1.0	4
0.02	0.04	0.02	0.41	27.59	1.66	0.4	0.41	1.0	4
0.04	0.05	0.12	0.69	6.16	2.85	0.65	0.61	0.93	4
0.01	0.01	0.01	1.0	122.93	Infinity	1.0	0.0	0.0	4
0.01	0.01	0.01	1.0	122.93	Infinity	1.0	0.0	0.0	4
0.01	0.01	0.01	1.0	122.93	Infinity	1.0	0.0	0.0	4
0.01	0.01	0.01	0.64	78.23	2.73	0.64	0.64	1.0	4
0.01	0.01	0.01	0.53	64.7	2.1	0.53	0.53	1.0	4
0.01	0.01	0.01	0.58	70.25	2.32	0.57	0.57	1.0	4
0.01	0.01	0.01	1.0	122.93	Infinity	1.0	0.0	0.0	4
0.01	0.01	0.01	1.0	122.93	Infinity	1.0	0.0	0.0	4
0.17	0.17	0.21	1.0	5.0	Infinity	1.0	0.96	1.0	4
0.01	0.01	0.05	1.0	20.49	Infinity	1.0	0.96	1.0	4
0.03	0.03	0.18	1.0	5.66	Infinity	1.0	0.85	1.0	4
0.6	0.6	0.62	1.0	1.62	Infinity	1.0	0.94	1.0	4
0.18	0.18	0.22	1.0	4.6	Infinity	1.0	0.96	1.0	4
0.22	0.22	0.39	1.0	2.63	Infinity	1.0	0.8	1.0	4
0.18	0.18	0.22	1.0	4.6	Infinity	1.0	0.96	1.0	4
0.02	0.03	0.02	0.53	35.95	2.1	0.53	0.53	1.0	5
0.01	0.01	0.02	0.84	56.67	5.92	0.84	0.83	1.0	5
0.02	0.02	0.02	0.55	37.4	2.19	0.55	0.55	1.0	5
0.01	0.01	0.02	1.0	68.0	Infinity	1.0	0.99	1.0	5
0.03	0.03	0.12	0.9	8.0	8.35	0.89	0.81	0.98	5
0.03	0.03	0.12	0.9	8.0	8.35	0.89	0.81	0.98	5
0.01	0.01	0.01	0.91	111.75	10.92	0.91	0.91	1.0	5
0.04	0.04	0.18	0.98	5.52	32.93	0.97	0.83	1.0	5
0.41	0.54	0.44	0.77	1.78	2.44	0.59	0.72	0.98	5
0.03	0.03	0.12	0.99	8.85	75.51	0.99	0.91	1.0	6
0.03	0.03	0.12	0.99	8.85	75.51	0.99	0.91	1.0	6
0.01	0.01	0.01	1.0	122.93	Infinity	1.0	1.0	1.0	6
0.01	0.01	0.01	1.0	122.93	Infinity	1.0	1.0	1.0	6
0.01	0.01	0.01	1.0	122.93	Infinity	1.0	1.0	1.0	7
0.01	0.01	0.01	1.0	122.93	Infinity	1.0	1.0	1.0	7
0.01	0.01	0.02	0.95	64.23	17.74	0.95	0.94	1.0	8
0.03	0.03	0.12	1.0	8.96	Infinity	1.0	0.92	1.0	8
0.04	0.04	0.18	1.0	5.66	Infinity	1.0	0.86	1.0	8
</values>
