<?xml version="1.0" encoding="UTF-8"?>
<values>
Support	antecedent_support	consequent_support	Confidence	Lift	Conv	CF	NetConf	YulesQ	nAttributes
0.48	0.54	0.64	0.91	1.43	3.75	0.74	0.58	0.9	2
0.11	0.11	0.16	0.97	6.26	22.85	0.96	0.91	1.0	2
0.2	0.3	0.34	0.68	2.03	2.06	0.52	0.49	0.8	2
0.33	0.54	0.43	0.62	1.45	1.5	0.33	0.41	0.73	2
0.01	0.01	0.01	1.0	500.01	Infinity	1.0	0.0	0.0	2
0.01	0.01	0.09	1.0	12.05	Infinity	1.0	0.92	1.0	2
0.01	0.01	0.09	0.75	9.04	3.67	0.73	0.67	0.95	2
0.55	0.55	0.97	1.0	1.03	3.72	0.74	0.06	0.77	2
0.42	0.46	0.64	0.92	1.46	4.49	0.78	0.53	0.89	3
0.16	0.19	0.54	0.85	1.6	3.04	0.68	0.39	0.73	3
0.42	0.53	0.54	0.8	1.51	2.3	0.57	0.56	0.85	3
0.11	0.11	0.16	0.98	6.31	29.05	0.97	0.92	1.0	3
0.08	0.08	0.16	0.99	6.42	65.99	0.99	0.91	1.0	3
0.01	0.01	0.01	1.0	1000.01	Infinity	1.0	0.0	0.0	3
0.01	0.01	0.01	1.0	166.67	Infinity	1.0	1.0	1.0	3
0.27	0.39	0.43	0.68	1.59	1.75	0.43	0.41	0.7	3
0.09	0.11	0.11	0.81	7.45	4.55	0.79	0.78	0.99	3
0.03	0.03	0.11	0.84	7.72	5.36	0.82	0.75	0.97	3
0.03	0.03	0.11	0.91	8.42	9.82	0.9	0.82	0.99	3
0.11	0.15	0.11	0.71	6.57	3.07	0.68	0.7	1.0	3
0.01	0.01	0.01	1.0	1000.01	Infinity	1.0	0.0	0.0	3
0.29	0.35	0.54	0.82	1.54	2.5	0.6	0.44	0.76	3
0.47	0.47	0.97	1.0	1.04	7.86	0.88	0.06	0.88	3
0.14	0.15	0.54	0.92	1.73	5.61	0.83	0.46	0.86	4
0.1	0.1	0.16	0.98	6.36	39.77	0.98	0.92	1.0	4
0.08	0.08	0.16	1.0	6.5	Infinity	1.0	0.92	1.0	4
0.03	0.03	0.11	0.87	7.99	6.47	0.85	0.78	0.98	4
0.04	0.05	0.11	0.85	7.82	5.74	0.83	0.78	0.98	4
0.02	0.03	0.11	0.95	8.8	17.84	0.95	0.86	0.99	4
0.05	0.06	0.11	0.84	7.78	5.56	0.82	0.78	0.98	4
0.08	0.1	0.11	0.84	7.77	5.54	0.82	0.81	0.99	4
0.02	0.02	0.11	1.0	9.26	Infinity	1.0	0.91	1.0	4
0.11	0.14	0.11	0.72	6.67	3.18	0.69	0.72	1.0	4
0.25	0.29	0.54	0.86	1.63	3.33	0.7	0.47	0.81	4
0.21	0.24	0.54	0.89	1.67	3.97	0.75	0.46	0.83	4
0.01	0.01	0.07	0.63	10.25	2.51	0.61	0.57	0.94	4
0.07	0.08	0.11	0.85	7.85	5.84	0.83	0.8	0.99	5
0.02	0.02	0.11	1.0	9.26	Infinity	1.0	0.91	1.0	5
0.01	0.01	0.05	1.0	20.41	Infinity	1.0	0.96	1.0	5
0.04	0.05	0.11	0.88	8.14	7.32	0.87	0.81	0.98	5
0.15	0.17	0.54	0.89	1.67	4.09	0.76	0.43	0.81	5
0.03	0.03	0.11	0.91	8.34	8.93	0.89	0.82	0.98	5
0.05	0.06	0.11	0.86	7.89	6.03	0.84	0.79	0.98	5
0.01	0.01	0.01	1.0	166.67	Infinity	1.0	1.0	1.0	6
0.03	0.04	0.11	0.91	8.4	9.52	0.9	0.83	0.99	6
0.04	0.05	0.11	0.9	8.34	8.92	0.89	0.83	0.99	6
0.03	0.03	0.11	0.97	8.91	23.2	0.96	0.88	1.0	6
0.04	0.05	0.11	0.87	8.0	6.55	0.85	0.8	0.98	7
</values>
