<?xml version="1.0" encoding="UTF-8"?>
<values>
Support	antecedent_support	consequent_support	Confidence	Lift	Conv	CF	NetConf	YulesQ	nAttributes
0.01	0.01	0.01	1.0	214.0	Infinity	1.0	1.0	1.0	2
0.72	0.72	0.9	1.0	1.12	Infinity	1.0	0.36	1.0	2
0.01	0.01	0.01	1.0	214.0	Infinity	1.0	1.0	1.0	2
0.01	0.01	0.01	1.0	214.0	Infinity	1.0	1.0	1.0	2
0.21	0.27	0.44	0.79	1.81	2.64	0.63	0.48	0.79	2
0.01	0.01	0.01	1.0	214.0	Infinity	1.0	1.0	1.0	2
0.01	0.01	0.01	1.0	214.0	Infinity	1.0	1.0	1.0	2
0.59	0.63	0.68	0.95	1.4	6.13	0.84	0.72	0.97	2
0.58	0.6	0.68	0.96	1.41	6.88	0.86	0.69	0.97	2
0.66	0.67	0.85	0.98	1.16	7.36	0.87	0.41	0.95	2
0.01	0.01	0.01	1.0	214.0	Infinity	1.0	1.0	1.0	2
0.01	0.01	0.01	1.0	214.0	Infinity	1.0	1.0	1.0	2
0.01	0.01	0.01	1.0	214.0	Infinity	1.0	1.0	1.0	2
0.01	0.01	0.01	1.0	214.0	Infinity	1.0	1.0	1.0	2
0.01	0.01	0.01	1.0	214.0	Infinity	1.0	1.0	1.0	2
0.01	0.01	0.01	1.0	214.0	Infinity	1.0	1.0	1.0	2
0.01	0.01	0.01	1.0	214.0	Infinity	1.0	1.0	1.0	2
0.64	0.66	0.74	0.97	1.31	7.38	0.87	0.67	0.97	2
0.01	0.01	0.01	1.0	214.0	Infinity	1.0	1.0	1.0	2
0.01	0.01	0.01	1.0	214.0	Infinity	1.0	1.0	1.0	2
0.22	0.23	0.58	0.94	1.65	7.03	0.86	0.48	0.9	2
0.01	0.01	0.01	1.0	214.0	Infinity	1.0	1.0	1.0	2
0.02	0.02	0.03	1.0	35.67	Infinity	1.0	0.99	1.0	2
0.01	0.01	0.01	1.0	214.0	Infinity	1.0	1.0	1.0	2
0.1	0.15	0.15	0.65	4.61	2.43	0.59	0.6	0.94	2
0.01	0.01	0.01	1.0	107.0	Infinity	1.0	1.0	1.0	2
0.01	0.01	0.01	1.0	214.0	Infinity	1.0	1.0	1.0	2
0.01	0.01	0.01	1.0	214.0	Infinity	1.0	1.0	1.0	2
0.01	0.01	0.01	1.0	214.0	Infinity	1.0	1.0	1.0	2
0.01	0.01	0.01	1.0	214.0	Infinity	1.0	1.0	1.0	2
0.01	0.01	0.01	1.0	214.0	Infinity	1.0	1.0	1.0	2
0.15	0.19	0.24	0.8	3.34	3.72	0.74	0.69	0.94	2
0.19	0.25	0.28	0.76	2.79	2.98	0.67	0.65	0.93	2
0.52	0.54	0.7	0.98	1.41	11.72	0.92	0.61	0.97	2
0.11	0.15	0.17	0.75	4.54	3.25	0.7	0.68	0.96	2
0.18	0.25	0.24	0.74	3.07	2.83	0.65	0.66	0.94	2
0.01	0.01	0.01	1.0	214.0	Infinity	1.0	1.0	1.0	2
0.01	0.01	0.01	1.0	214.0	Infinity	1.0	1.0	1.0	2
0.01	0.01	0.01	1.0	214.0	Infinity	1.0	1.0	1.0	2
0.01	0.01	0.01	1.0	107.0	Infinity	1.0	1.0	1.0	2
0.01	0.01	0.01	1.0	214.0	Infinity	1.0	1.0	1.0	2
0.01	0.01	0.01	1.0	107.0	Infinity	1.0	1.0	1.0	2
0.03	0.03	0.05	1.0	21.41	Infinity	1.0	0.99	1.0	2
0.01	0.01	0.01	1.0	214.0	Infinity	1.0	1.0	1.0	2
0.45	0.51	0.6	0.89	1.49	3.41	0.71	0.59	0.9	2
0.01	0.01	0.01	1.0	214.0	Infinity	1.0	1.0	1.0	2
0.02	0.02	0.03	1.0	35.67	Infinity	1.0	0.99	1.0	2
0.33	0.37	0.58	0.89	1.55	3.74	0.74	0.5	0.85	2
0.01	0.01	0.01	1.0	214.0	Infinity	1.0	1.0	1.0	2
0.01	0.01	0.01	1.0	214.0	Infinity	1.0	1.0	1.0	2
0.28	0.31	0.55	0.88	1.63	3.78	0.74	0.49	0.84	2
0.48	0.53	0.62	0.91	1.48	3.95	0.75	0.61	0.92	2
0.17	0.19	0.45	0.88	1.98	4.45	0.78	0.54	0.87	2
0.01	0.01	0.01	1.0	214.0	Infinity	1.0	1.0	1.0	2
0.01	0.01	0.01	1.0	214.0	Infinity	1.0	1.0	1.0	2
0.01	0.01	0.01	1.0	214.0	Infinity	1.0	1.0	1.0	2
0.01	0.01	0.01	1.0	214.0	Infinity	1.0	1.0	1.0	2
0.01	0.01	0.01	1.0	214.0	Infinity	1.0	1.0	1.0	2
0.01	0.01	0.01	1.0	214.0	Infinity	1.0	1.0	1.0	2
0.05	0.05	0.07	1.0	16.47	Infinity	1.0	0.99	1.0	2
0.01	0.01	0.01	1.0	214.0	Infinity	1.0	1.0	1.0	2
0.01	0.01	0.01	1.0	107.0	Infinity	1.0	1.0	1.0	2
0.01	0.01	0.01	1.0	214.0	Infinity	1.0	1.0	1.0	2
0.63	0.64	0.86	0.99	1.16	10.17	0.91	0.37	0.96	2
0.01	0.01	0.01	1.0	214.0	Infinity	1.0	1.0	1.0	2
0.03	0.03	0.04	1.0	30.58	Infinity	1.0	1.0	1.0	2
0.08	0.11	0.13	0.7	5.73	2.89	0.66	0.65	0.96	2
0.48	0.53	0.63	0.92	1.47	4.24	0.77	0.61	0.92	2
0.01	0.01	0.01	1.0	214.0	Infinity	1.0	1.0	1.0	2
0.01	0.01	0.01	1.0	214.0	Infinity	1.0	1.0	1.0	2
0.01	0.01	0.01	1.0	214.0	Infinity	1.0	1.0	1.0	2
0.01	0.01	0.01	1.0	214.0	Infinity	1.0	1.0	1.0	2
0.46	0.59	0.52	0.79	1.52	2.23	0.56	0.64	0.91	2
0.05	0.05	0.07	1.0	16.47	Infinity	1.0	0.99	1.0	2
0.45	0.51	0.58	0.88	1.51	3.28	0.7	0.6	0.9	2
0.39	0.45	0.58	0.88	1.51	3.33	0.7	0.53	0.86	2
0.01	0.01	0.01	1.0	214.0	Infinity	1.0	1.0	1.0	2
