<?xml version="1.0" encoding="UTF-8"?>
<values>
Support	antecedent_support	consequent_support	Confidence	Lift	Conv	CF	NetConf	YulesQ	nAttributes
0.02	0.02	0.02	1.0	80.0	Infinity	1.0	1.0	1.0	2
0.07	0.08	0.15	0.84	5.56	5.11	0.81	0.74	0.96	2
0.02	0.02	0.02	1.0	80.0	Infinity	1.0	1.0	1.0	2
0.04	0.06	0.04	0.75	20.0	3.85	0.75	0.75	1.0	2
0.02	0.02	0.02	1.0	80.0	Infinity	1.0	1.0	1.0	2
0.15	0.15	0.39	1.0	2.59	Infinity	1.0	0.73	1.0	2
0.58	0.59	0.84	0.98	1.17	7.64	0.87	0.35	0.93	2
0.02	0.02	0.02	1.0	80.0	Infinity	1.0	1.0	1.0	2
0.39	0.39	0.66	1.0	1.54	Infinity	1.0	0.58	1.0	2
0.58	0.59	0.84	0.98	1.17	7.64	0.87	0.35	0.93	2
0.02	0.02	0.02	1.0	80.0	Infinity	1.0	1.0	1.0	2
0.11	0.14	0.15	0.73	4.85	3.12	0.68	0.67	0.96	2
0.02	0.02	0.02	1.0	80.0	Infinity	1.0	1.0	1.0	2
0.33	0.39	0.54	0.84	1.57	2.87	0.66	0.5	0.82	2
0.08	0.11	0.15	0.75	5.0	3.4	0.71	0.67	0.95	2
0.02	0.02	0.02	1.0	80.0	Infinity	1.0	1.0	1.0	2
0.02	0.02	0.02	1.0	80.0	Infinity	1.0	1.0	1.0	2
0.02	0.02	0.02	1.0	80.0	Infinity	1.0	1.0	1.0	2
0.02	0.02	0.02	1.0	80.0	Infinity	1.0	1.0	1.0	2
0.02	0.02	0.02	1.0	80.0	Infinity	1.0	1.0	1.0	2
0.28	0.33	0.54	0.85	1.58	3.01	0.67	0.46	0.8	2
0.02	0.02	0.02	1.0	80.0	Infinity	1.0	1.0	1.0	2
0.17	0.17	0.48	1.0	2.11	Infinity	1.0	0.63	1.0	2
0.02	0.02	0.02	1.0	80.0	Infinity	1.0	1.0	1.0	2
0.02	0.02	0.02	1.0	80.0	Infinity	1.0	1.0	1.0	2
0.06	0.06	0.15	1.0	6.67	Infinity	1.0	0.9	1.0	2
0.02	0.02	0.02	1.0	80.0	Infinity	1.0	1.0	1.0	2
0.02	0.02	0.02	1.0	80.0	Infinity	1.0	1.0	1.0	2
0.3	0.34	0.53	0.89	1.7	4.28	0.77	0.55	0.88	3
0.08	0.09	0.11	0.86	8.58	6.31	0.85	0.83	1.0	3
0.09	0.09	0.15	1.0	6.67	Infinity	1.0	0.94	1.0	3
0.08	0.08	0.15	1.0	6.67	Infinity	1.0	0.92	1.0	3
0.08	0.08	0.15	1.0	6.67	Infinity	1.0	0.92	1.0	3
0.53	0.54	0.77	0.98	1.29	10.22	0.91	0.47	0.96	3
0.52	0.54	0.72	0.96	1.34	6.19	0.84	0.53	0.93	3
0.64	0.64	0.84	1.0	1.2	Infinity	1.0	0.45	1.0	3
0.03	0.03	0.03	1.0	40.0	Infinity	1.0	1.0	1.0	3
0.58	0.58	0.84	1.0	1.2	Infinity	1.0	0.39	1.0	3
0.34	0.34	0.66	1.0	1.54	Infinity	1.0	0.53	1.0	3
0.06	0.06	0.07	1.0	16.0	Infinity	1.0	0.99	1.0	3
0.19	0.19	0.57	1.0	1.78	Infinity	1.0	0.54	1.0	3
0.09	0.09	0.13	1.0	8.0	Infinity	1.0	0.96	1.0	4
0.09	0.09	0.13	1.0	8.0	Infinity	1.0	0.96	1.0	4
0.28	0.3	0.53	0.92	1.75	5.71	0.83	0.56	0.91	4
0.32	0.34	0.58	0.93	1.62	5.74	0.83	0.53	0.91	4
0.46	0.46	0.77	1.0	1.32	Infinity	1.0	0.44	1.0	4
0.44	0.46	0.72	0.98	1.37	10.35	0.91	0.48	0.95	4
0.24	0.28	0.47	0.87	1.87	3.95	0.75	0.56	0.87	4
0.11	0.11	0.35	1.0	2.86	Infinity	1.0	0.73	1.0	4
0.21	0.21	0.54	1.0	1.87	Infinity	1.0	0.58	1.0	4
0.22	0.22	0.54	1.0	1.87	Infinity	1.0	0.59	1.0	4
0.04	0.04	0.06	1.0	20.0	Infinity	1.0	0.99	1.0	4
0.17	0.17	0.47	1.0	2.17	Infinity	1.0	0.65	1.0	4
0.57	0.6	0.72	0.94	1.32	4.61	0.79	0.57	0.93	4
0.11	0.11	0.34	1.0	2.97	Infinity	1.0	0.74	1.0	5
0.11	0.11	0.34	1.0	2.97	Infinity	1.0	0.74	1.0	5
0.28	0.3	0.52	0.92	1.79	5.86	0.83	0.58	0.92	5
0.35	0.35	0.66	1.0	1.54	Infinity	1.0	0.54	1.0	5
0.19	0.21	0.47	0.94	2.03	8.6	0.89	0.6	0.94	5
0.19	0.21	0.47	0.94	2.03	8.6	0.89	0.6	0.94	5
0.58	0.6	0.77	0.96	1.26	5.7	0.83	0.49	0.93	5
0.12	0.13	0.29	0.91	3.14	7.13	0.86	0.71	0.95	5
0.24	0.27	0.47	0.91	1.96	5.65	0.83	0.6	0.92	5
0.04	0.04	0.04	1.0	26.67	Infinity	1.0	1.0	1.0	5
0.04	0.04	0.04	1.0	26.67	Infinity	1.0	1.0	1.0	5
0.13	0.17	0.23	0.77	3.42	3.36	0.71	0.65	0.93	5
0.28	0.29	0.58	0.96	1.67	9.78	0.9	0.54	0.94	5
0.53	0.53	0.82	1.0	1.24	Infinity	1.0	0.4	1.0	5
0.6	0.6	0.84	1.0	1.2	Infinity	1.0	0.41	1.0	5
0.42	0.42	0.72	1.0	1.41	Infinity	1.0	0.49	1.0	6
0.27	0.28	0.52	0.96	1.87	10.73	0.91	0.61	0.96	6
0.29	0.32	0.52	0.92	1.8	6.1	0.84	0.6	0.92	6
0.34	0.37	0.59	0.94	1.59	5.99	0.84	0.54	0.91	6
0.54	0.54	0.82	1.0	1.24	Infinity	1.0	0.41	1.0	6
0.41	0.41	0.66	1.0	1.54	Infinity	1.0	0.59	1.0	7
0.3	0.33	0.52	0.93	1.81	6.34	0.85	0.61	0.93	8
0.23	0.23	0.52	1.0	1.96	Infinity	1.0	0.63	1.0	9
0.23	0.23	0.52	1.0	1.96	Infinity	1.0	0.63	1.0	9
</values>
