<?xml version="1.0" encoding="UTF-8"?>
<values>
Support	antecedent_support	consequent_support	Confidence	Lift	Conv	CF	NetConf	YulesQ	nAttributes
0.59	0.6	0.69	1.0	1.45	42.0	0.98	0.75	1.0	2
0.64	0.66	0.69	0.98	1.42	12.59	0.93	0.83	1.0	2
0.56	0.6	0.62	0.95	1.55	6.82	0.86	0.82	0.99	2
0.58	0.6	0.66	0.98	1.51	15.71	0.94	0.81	1.0	2
0.09	0.1	0.14	0.83	6.1	4.84	0.8	0.77	0.98	2
0.08	0.09	0.1	0.83	8.44	5.24	0.81	0.8	0.99	2
0.6	0.62	0.66	0.98	1.5	12.19	0.92	0.83	1.0	2
0.23	0.24	0.35	0.97	2.77	21.07	0.96	0.82	0.99	2
0.6	0.62	0.67	0.98	1.47	15.37	0.94	0.8	1.0	2
0.65	0.66	0.75	1.0	1.34	37.93	0.98	0.72	1.0	2
0.15	0.15	0.35	0.99	2.83	63.06	0.99	0.75	1.0	2
0.11	0.14	0.15	0.8	5.37	4.13	0.76	0.75	0.98	2
0.08	0.09	0.15	0.88	5.95	7.07	0.86	0.8	0.98	2
0.01	0.01	0.04	0.5	13.67	1.93	0.49	0.47	0.94	2
0.02	0.05	0.03	0.23	11.02	1.27	0.21	0.22	0.93	2
0.62	0.62	0.74	1.0	1.37	Infinity	1.0	0.7	1.0	2
0.13	0.14	0.18	0.9	5.08	7.59	0.87	0.83	0.99	2
0.09	0.1	0.15	0.87	5.83	6.16	0.84	0.79	0.98	2
0.15	0.18	0.18	0.83	4.72	4.79	0.8	0.8	0.99	2
0.26	0.27	0.35	0.97	2.75	17.0	0.95	0.84	0.99	2
0.01	0.01	0.03	0.5	24.4	1.96	0.49	0.49	0.97	2
0.26	0.35	0.26	0.72	2.81	2.66	0.63	0.72	1.0	2
0.16	0.2	0.26	0.83	3.22	4.21	0.77	0.71	0.95	2
0.55	0.55	0.66	0.99	1.53	32.64	0.97	0.75	1.0	2
0.25	0.25	0.35	0.97	2.76	18.42	0.95	0.82	0.99	2
0.5	0.51	0.62	0.98	1.6	14.92	0.94	0.74	0.99	2
0.48	0.51	0.55	0.94	1.72	7.14	0.86	0.8	0.98	2
0.13	0.13	0.35	1.0	2.86	Infinity	1.0	0.74	1.0	2
0.08	0.09	0.11	0.85	7.91	5.76	0.83	0.81	0.99	2
0.02	0.05	0.05	0.39	9.33	1.56	0.36	0.36	0.93	2
0.21	0.21	0.35	0.98	2.8	30.56	0.97	0.8	1.0	2
0.55	0.57	0.62	0.96	1.57	9.39	0.9	0.8	0.99	3
0.59	0.62	0.62	0.95	1.55	6.81	0.86	0.87	0.99	3
0.56	0.58	0.62	0.96	1.56	8.52	0.89	0.82	0.99	3
